dataset,horizon,horizon_minutes,outer_fold,model_seed,model,level,status,reason,role_bank_hash,data_hash,fit_n,calibration_n,test_n,original_test_groups,tuning_fits,final_fits,fit_count_scope,preserved_path,membership_version,original_status
pleia,1,10.0,0,42,persistence,0.9,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_persistence,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,persistence,0.95,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_persistence,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,xgboost,0.9,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_xgboost,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,xgboost,0.95,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_xgboost,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,attention_lstm,0.9,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_attention_lstm,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,attention_lstm,0.95,completed_reusable,exact pilot data and role hashes matched,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913/units/h1_f0_s42_attention_lstm,matched_pilot_protocol,completed_reusable
pleia,1,10.0,0,42,seasonal_naive,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,42,seasonal_naive,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,persistence,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,persistence,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,xgboost,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,xgboost,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,attention_lstm,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,attention_lstm,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,seasonal_naive,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,43,seasonal_naive,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,persistence,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,persistence,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,xgboost,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,xgboost,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,attention_lstm,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,attention_lstm,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,seasonal_naive,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,44,seasonal_naive,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,persistence,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,persistence,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,xgboost,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,xgboost,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,attention_lstm,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,attention_lstm,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,seasonal_naive,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,45,seasonal_naive,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,persistence,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,persistence,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,xgboost,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,xgboost,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,attention_lstm,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,attention_lstm,0.95,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,4,1,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
pleia,1,10.0,0,46,seasonal_naive,0.9,required_new,generic matched entrypoint required,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,ea4daa5dc3579aec204c02fd26d09ba7467a2ad3c45790efc705c7883bde6741,29719,9907,9907,1,0,0,"per unique dataset/horizon/fold/seed/model, shared across levels",,matched_pilot_protocol,required_new
