dataset,horizon,physical_minutes,target_units,seeds,mae_difference_mean,mae_difference_min,mae_difference_max,lstm_lower_mae_seeds,winkler95_difference_mean,lstm_lower_winkler95_seeds,lstm_coverage95_mean,xgboost_coverage95_mean,mpiw95_difference_mean,cpu_ratio_mean,cpu_ratio_min,cpu_ratio_max
bdg2,1,60,kWh per hour,3,1.583566510555034,1.4365327045686485,1.8601831734172691,0,7.75343182193681,0,0.9493937644341801,0.9486528098537338,5.597024820963592,99.64768466664862,75.26359143327842,143.8626817447496
bdg2,3,180,kWh per hour,3,5.193228690028334,4.777519963262666,5.930242413793589,0,79.68670375107548,0,0.9497305619707467,0.9490762124711317,32.42041455078135,55.39954922699989,49.55797101449275,62.72509225092251
bdg2,6,360,kWh per hour,3,6.595502326320971,5.804421342929096,8.081928522989095,0,66.09366233405864,0,0.9513568129330254,0.9493937644341801,35.4803185221355,33.207424069941084,27.913513513513514,43.098958333333336
pleia,1,10,degrees C,3,0.8947659364367054,0.7694822031276982,1.1024725709058232,0,9.516269861346286,0,0.2844789879209986,0.3376400524881397,1.48646545410156,55.80071166090594,52.788,57.30869565217391
pleia,3,30,degrees C,3,0.2554042674335106,0.23718290905592943,0.2734118432633821,0,-0.45234412278043595,2,0.27418323744153966,0.304868611419535,0.5804814656575518,44.496564253665156,42.028688524590166,48.070247933884296
pleia,6,60,degrees C,3,0.2684692846028491,0.12636250501397672,0.49521819415313484,0,-3.6857056325579642,2,0.26496416675078227,0.32229736549914206,0.6213951110839844,27.20922835884151,26.584415584415584,27.868995633187772
pleia_energy,1,10,kWh per 10 minutes,3,-0.008062559979299102,-0.022438580082471682,0.0015554364604823262,2,0.9841805059649665,0,0.607516570774873,0.7870865717842603,-0.2639833092689514,26.594093220358292,25.683035714285715,27.325581395348838
pleia_energy,3,30,kWh per 10 minutes,3,0.023000523947854415,0.008055993173908024,0.03779190453281735,0,0.5106468473127014,0,0.6553951751286968,0.7529019884929848,-0.06488718589146932,19.915189421138766,18.81140350877193,20.637554585152838
pleia_energy,6,60,kWh per 10 minutes,3,0.02486308971697877,0.01936783698695127,0.028065009781323896,0,0.02651162936936095,1,0.6719491268799839,0.7068066350391978,0.032760441303253174,16.297348499935907,15.919831223628693,16.826839826839826
rico,5,5,degrees C,3,2.2495077487204154,1.9795653190911227,2.463078031438976,0,66.45817711998808,0,0.13583371682773435,0.6705399601165823,1.1266248067220037,22.34232076744154,13.716049382716049,27.71225071225071
rico,15,15,degrees C,3,2.2941070107094075,1.9581527650082808,2.499141985642913,0,73.85989809414714,0,0.11897287289704579,0.7740481365209693,0.4002662658691373,22.86354623939128,15.341911764705882,30.063432835820894
rico,30,30,degrees C,3,2.147963037636378,1.9505977222128674,2.4912426163541674,0,72.26906690845057,0,0.10960393026390157,0.8121386026694492,-0.3822191874186179,24.898225063998183,20.879310344827587,28.731448763250885
rico,60,60,degrees C,3,1.5303085582962892,1.2280265662320857,1.9221308654410618,0,58.125275587036754,0,0.19631298223810265,0.8571280617264772,-2.2553685506184897,14.68912671792659,13.004166666666666,17.09051724137931
