dataset,outer_fold,seed,interval_method,selected_nominal,empirical_coverage,signed_deviation,undercoverage,recalibration,stream,operational_feasible,width_available
pleia,0,42,recentred_enbpi_updated,0.99,0.9853638841223378,-0.004636115877662217,True,static,clean_test_targets,True,False
pleia,1,42,recentred_enbpi_updated,0.975,0.960633895225598,-0.014366104774402033,True,static,clean_test_targets,False,False
pleia,2,42,recentred_enbpi_updated,0.95,0.8506106793176542,-0.09938932068234574,True,static,clean_test_targets,True,False
pleia,0,43,recentred_enbpi_updated,0.99,0.9853638841223378,-0.004636115877662217,True,static,clean_test_targets,True,False
pleia,1,43,recentred_enbpi_updated,0.95,0.9213687291813868,-0.028631270818613164,True,static,clean_test_targets,False,False
pleia,2,43,recentred_enbpi_updated,0.95,0.8506106793176542,-0.09938932068234574,True,static,clean_test_targets,True,False
pleia,0,44,cqr,0.995,0.9947511860300796,-0.00024881396992038063,True,static,clean_test_targets,True,False
pleia,1,44,recentred_enbpi_updated,0.95,0.9213687291813868,-0.028631270818613164,True,static,clean_test_targets,False,False
pleia,2,44,cqr,0.975,0.4024427172706167,-0.5725572827293832,True,static,clean_test_targets,True,False
pleia,0,45,cqr,0.95,0.9596245079236904,0.009624507923690406,False,static,clean_test_targets,True,False
pleia,1,45,recentred_enbpi_updated,0.975,0.960633895225598,-0.014366104774402033,True,static,clean_test_targets,False,False
pleia,2,45,cqr,0.99,0.411224386797214,-0.5787756132027859,True,periodic,clean_test_targets,True,False
pleia,0,46,cqr,0.995,0.9947511860300796,-0.00024881396992038063,True,static,clean_test_targets,True,False
pleia,1,46,recentred_enbpi_updated,0.995,0.9918239628545472,-0.0031760371454527814,True,static,clean_test_targets,False,False
pleia,2,46,cqr,0.995,0.5022711214292924,-0.4927288785707076,True,static,clean_test_targets,True,False
pleia_energy,0,42,quantile_uncalibrated,0.95,0.8510445049954587,-0.09895549500454126,True,static,clean_test_targets,False,False
pleia_energy,1,42,recentred_enbpi_static,0.975,0.9627536085596043,-0.012246391440395632,True,periodic,clean_test_targets,False,False
pleia_energy,2,42,recentred_enbpi_static,0.975,0.5303320884223276,-0.4446679115776724,True,periodic,clean_test_targets,False,False
pleia_energy,0,43,quantile_uncalibrated,0.975,0.8902008275305278,-0.08479917246947222,True,static,clean_test_targets,False,False
pleia_energy,1,43,cqr,0.975,0.9729484203088724,-0.0020515796911275697,True,static,clean_test_targets,False,False
pleia_energy,2,43,cqr,0.95,0.4860199858685777,-0.46398001413142226,True,periodic,clean_test_targets,False,False
pleia_energy,0,44,quantile_uncalibrated,0.95,0.8510445049954587,-0.09895549500454126,True,static,clean_test_targets,False,False
pleia_energy,1,44,cqr,0.95,0.9461996568083172,-0.0038003431916827646,True,static,clean_test_targets,False,False
pleia_energy,2,44,cqr,0.95,0.4860199858685777,-0.46398001413142226,True,periodic,clean_test_targets,False,False
pleia_energy,0,45,quantile_uncalibrated,0.95,0.8510445049954587,-0.09895549500454126,True,static,clean_test_targets,False,False
pleia_energy,1,45,quantile_uncalibrated,0.95,0.7578479862723327,-0.19215201372766721,True,static,clean_test_targets,False,False
pleia_energy,2,45,cqr,0.95,0.8540425961441405,-0.09595740385585949,True,static,clean_test_targets,False,False
pleia_energy,0,46,quantile_uncalibrated,0.95,0.8510445049954587,-0.09895549500454126,True,static,clean_test_targets,True,False
pleia_energy,1,46,cqr,0.975,0.9729484203088724,-0.0020515796911275697,True,static,clean_test_targets,True,False
pleia_energy,2,46,recentred_enbpi_static,0.975,0.5303320884223276,-0.4446679115776724,True,periodic,clean_test_targets,False,False
rico,0,42,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,1,42,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,2,42,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,0,43,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,1,43,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,2,43,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,0,44,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,1,44,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,2,44,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,0,45,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,1,45,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,2,45,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,0,46,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
rico,1,46,cqr,0.95,1.0,0.050000000000000044,False,static,clean_test_targets,False,False
rico,2,46,recentred_enbpi_static,0.995,1.0,0.0050000000000000044,False,static,clean_test_targets,False,False
bdg2,0,42,cqr,0.95,0.9426626672819566,-0.007337332718043377,True,static,clean_test_targets,False,False
bdg2,1,42,cqr,0.95,0.8841072973752524,-0.06589270262474756,True,periodic,clean_test_targets,False,False
bdg2,2,42,cqr,0.95,0.9007499278915488,-0.049250072108451115,True,periodic,clean_test_targets,False,False
bdg2,0,43,cqr,0.95,0.8850657591139824,-0.06493424088601751,True,periodic,clean_test_targets,False,False
bdg2,1,43,quantile_uncalibrated,0.95,0.7790308624170753,-0.17096913758292465,True,static,clean_test_targets,False,False
bdg2,2,43,cqr,0.95,0.9007499278915488,-0.049250072108451115,True,periodic,clean_test_targets,False,False
bdg2,0,44,cqr,0.95,0.9426626672819566,-0.007337332718043377,True,static,clean_test_targets,False,False
bdg2,1,44,cqr,0.95,0.8841072973752524,-0.06589270262474756,True,periodic,clean_test_targets,False,False
bdg2,2,44,cqr,0.95,0.9007499278915488,-0.049250072108451115,True,periodic,clean_test_targets,False,False
bdg2,0,45,cqr,0.95,0.8850657591139824,-0.06493424088601751,True,periodic,clean_test_targets,False,False
bdg2,1,45,cqr,0.95,0.8841072973752524,-0.06589270262474756,True,periodic,clean_test_targets,False,False
bdg2,2,45,cqr,0.95,0.9007499278915488,-0.049250072108451115,True,periodic,clean_test_targets,False,False
bdg2,0,46,cqr,0.95,0.8850657591139824,-0.06493424088601751,True,periodic,clean_test_targets,False,False
bdg2,1,46,cqr,0.95,0.8841072973752524,-0.06589270262474756,True,periodic,clean_test_targets,False,False
bdg2,2,46,cqr,0.95,0.9007499278915488,-0.049250072108451115,True,periodic,clean_test_targets,False,False
