dataset,outer_fold,seed,executed,operational_feasible,reason_code,selected_point_model,selected_interval_method,selected_nominal_level,selected_rule,selected_recalibration,evaluation_mode,n_events_requested_inner,n_events_placed_outer,n_events_detected,empirical_coverage,macro_recall,background_per_asset_day,included_in_headline_cis
pleia,0,42,True,True,selected_under_frozen_policy,persistence,recentred_enbpi_updated,0.99,single,static,operational,34,34,28,0.9853638841223378,0.7777777777777778,1.6570101948117493,True
pleia,1,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_updated,0.975,single,static,best_effort_diagnostic,26,34,24,0.960633895225598,0.6666666666666666,2.223882103563137,True
pleia,2,42,True,True,selected_under_frozen_policy,persistence,recentred_enbpi_updated,0.95,k3_w180,static,operational,17,34,19,0.8506106793176542,0.5416666666666666,0.8575754517008176,True
pleia,0,43,True,True,selected_under_frozen_policy,persistence,recentred_enbpi_updated,0.99,single,static,operational,34,34,28,0.9853638841223378,0.7777777777777778,1.598869486221863,True
pleia,1,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_updated,0.95,single,static,best_effort_diagnostic,26,34,27,0.9213687291813868,0.7638888888888888,4.01170889270213,True
pleia,2,43,True,True,selected_under_frozen_policy,persistence,recentred_enbpi_updated,0.95,k3_w180,static,operational,17,34,16,0.8506106793176542,0.4583333333333333,0.8866458059957605,True
pleia,0,44,True,True,selected_under_frozen_policy,persistence,cqr,0.995,single,static,operational,34,34,27,0.9947511860300796,0.75,0.5523367316039164,True
pleia,1,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_updated,0.95,single,static,best_effort_diagnostic,26,34,26,0.9213687291813868,0.7222222222222222,3.953568184112244,True
pleia,2,44,True,True,selected_under_frozen_policy,persistence,cqr,0.975,k3_w30,static,operational,17,34,19,0.4024427172706167,0.5277777777777777,1.3953770061572626,True
pleia,0,45,True,True,selected_under_frozen_policy,persistence,cqr,0.95,k3_w30,static,operational,34,34,28,0.9596245079236904,0.7777777777777778,0.1017462400323003,True
pleia,1,45,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_updated,0.975,single,static,best_effort_diagnostic,26,34,26,0.960633895225598,0.7361111111111112,2.1802765721207225,True
pleia,2,45,True,True,selected_under_frozen_policy,persistence,cqr,0.99,k3_w30,periodic,operational,17,34,17,0.411224386797214,0.4722222222222222,1.438982537599677,True
pleia,0,46,True,True,selected_under_frozen_policy,persistence,cqr,0.995,single,static,operational,34,34,27,0.9947511860300796,0.75,0.5814070858988594,True
pleia,1,46,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_updated,0.995,single,static,best_effort_diagnostic,26,34,25,0.9918239628545472,0.6944444444444443,0.5523367316039164,True
pleia,2,46,True,True,selected_under_frozen_policy,persistence,cqr,0.995,single,static,operational,17,34,19,0.5022711214292924,0.5277777777777777,3.2849500353285555,True
pleia_energy,0,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.95,single,static,best_effort_diagnostic,34,34,31,0.8510445049954587,0.9166666666666664,13.151680290644869,True
pleia_energy,1,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,recentred_enbpi_static,0.975,single,periodic,best_effort_diagnostic,26,34,22,0.9627536085596043,0.611111111111111,4.215201372766731,True
pleia_energy,2,42,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,recentred_enbpi_static,0.975,single,periodic,best_effort_diagnostic,17,34,28,0.5303320884223276,0.8333333333333334,16.17765216513576,True
pleia_energy,0,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.975,single,static,best_effort_diagnostic,34,34,27,0.8902008275305278,0.7638888888888888,8.762942779291553,True
pleia_energy,1,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.975,single,static,best_effort_diagnostic,26,34,20,0.9729484203088724,0.5555555555555556,3.6483294640153434,True
pleia_energy,2,43,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,persistence,cqr,0.95,single,periodic,best_effort_diagnostic,17,34,23,0.4860199858685777,0.6666666666666666,13.445038861411122,True
pleia_energy,0,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,quantile_uncalibrated,0.95,single,static,best_effort_diagnostic,34,34,28,0.8510445049954587,0.8055555555555555,13.151680290644869,True
pleia_energy,1,44,True,False,no_candidate_met_recall0.60_and_workload1.0_on_inner_selection_block,xgboost,cqr,0.95,single,static,best_effort_diagnostic,26,34,28,0.9461996568083172,0.7916666666666666,6.816998082164126,True
