stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
stream_h3_l90_quantile_uncalibrated,10.760392199998023,601763840,627724288,652283904,678842368,25960448,1035825152,2377117696,0.05,10.578125
stream_h3_l90_recentred_enbpi_static,10.122085900002276,609177600,623865856,659787776,675254272,14688256,1035825152,2333675520,0.05,10.03125
stream_h3_l90_recentred_enbpi_updated,22.058311599990702,594837504,647180288,646762496,698302464,52342784,1035825152,2420563968,0.05,21.796875
stream_h3_l95_cqr,10.019825099996524,594419712,624517120,647675904,675622912,30097408,1035825152,2390720512,0.05,9.859375
stream_h3_l95_dscp,7.637318799999775,574042112,605704192,658477056,690040832,31662080,1035825152,2382512128,0.05,7.53125
stream_h3_l95_quantile_uncalibrated,10.39018240000587,606494720,626515968,657645568,676978688,20021248,1035825152,2412662784,0.05,10.203125
stream_h3_l95_recentred_enbpi_static,9.758700699996552,607453184,630362112,659111936,681512960,22908928,1035825152,2424516608,0.05,9.625
stream_h3_l95_recentred_enbpi_updated,22.21804439999687,601624576,646217728,653312000,697278464,44593152,1035825152,2435698688,0.05,22.0
stream_h6_l90_cqr,10.603795999995782,605073408,637599744,657948672,688541696,32526336,1035825152,2382082048,0.05,10.140625
stream_h6_l90_dscp,7.760481799996342,574066688,605884416,658407424,690520064,31817728,1035825152,2420613120,0.05,7.6875
stream_h6_l90_quantile_uncalibrated,10.72104560000298,616476672,637943808,667389952,688398336,21467136,1035825152,2393440256,0.05,10.421875
stream_h6_l90_recentred_enbpi_static,10.144227600001614,616062976,634253312,666861568,685121536,18190336,1035825152,2426318848,0.05,9.953125
stream_h6_l90_recentred_enbpi_updated,22.127874099998735,604803072,645734400,657969152,696754176,40931328,1035825152,2411175936,0.05,21.703125
stream_h6_l95_cqr,10.25823209999362,605122560,634011648,657801216,685064192,28889088,1035825152,2482876416,0.05,9.984375
stream_h6_l95_dscp,7.628573800000595,573767680,605667328,658268160,690036736,31899648,1035825152,2413486080,0.05,7.5
stream_h6_l95_quantile_uncalibrated,10.265658199990867,618729472,637157376,670334976,687603712,18427904,1035825152,2488225792,0.05,10.078125
stream_h6_l95_recentred_enbpi_static,10.119583499996224,611397632,637161472,664399872,687730688,25763840,1035825152,2437599232,0.05,9.90625
stream_h6_l95_recentred_enbpi_updated,22.030754599996726,606228480,646283264,659038208,697118720,40054784,1035825152,2426245120,0.05,21.703125
