dataset,outer_fold,model_seed,horizon,model,n,mae,rmse,learned_fits,deterministic_seed_alias,source_model_seed
bdg2,2,46,1,seasonal_naive,34640,42.55805887413395,93.14333563540711,0,True,42
bdg2,2,46,3,seasonal_naive,34640,42.554705811200925,93.14043516407885,0,True,42
bdg2,2,46,6,seasonal_naive,34640,42.54180525404157,93.13294106096956,0,True,42
