dataset,target,units,sampling_freq,horizon_steps,horizon_minutes,model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
uci_occupancy,Temperature,degC,0 days 00:01:00,5,5.0,persistence,0.03161748234721211,0.028814152666179548,0.03413943876308715,0.05061270014221719,0.04732240311424691,0.05333912089282865
uci_occupancy,Temperature,degC,0 days 00:01:00,5,5.0,xgboost,0.039100434884033745,0.03599694598860292,0.04176244214626618,0.0540400380842903,0.04929619822940237,0.05742569102776045
uci_occupancy,Temperature,degC,0 days 00:01:00,15,15.0,persistence,0.06371019445122468,0.05634065169636354,0.07052483829631485,0.09566797161249847,0.08593372097677128,0.10400779020948576
uci_occupancy,Temperature,degC,0 days 00:01:00,15,15.0,xgboost,0.06348682272031735,0.05747126234003508,0.06817606727734199,0.08584135409255236,0.07652369646631985,0.09217357205691788
