dataset,horizon,outer_fold,model_seed,model,estimator_class,payload_seed,fit_record_seeds,source_hash,protocol_hash,source_run,passed,seed_variability,actual_wrapper_random_state,actual_booster_seed,actual_n_jobs,serialized_training_seed,rng_paths
pleia,3,2,44,persistence,src.pilot_forecasters.Persistence,44,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b7e3fa5ed8095f5fd84d9934e8cfc8e570437f6da1fa9ab9bb67e1ef8b940f33,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s44_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
pleia,3,2,44,xgboost,xgboost.sklearn.XGBRegressor,44,[44],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b7e3fa5ed8095f5fd84d9934e8cfc8e570437f6da1fa9ab9bb67e1ef8b940f33,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s44_v1,True,,44.0,44.0,1.0,,
pleia,3,2,44,attention_lstm,src.attention_lstm.AttentionLSTM,44,[44],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b7e3fa5ed8095f5fd84d9934e8cfc8e570437f6da1fa9ab9bb67e1ef8b940f33,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s44_v1,True,,,,,44.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
