dataset,horizon,outer_fold,model_seed,model,evidence_status,estimator_class,mae,rmse,n_fit,n_calibration,n_evaluation,selected_candidate,final_epochs,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,process_cpu_seconds,learned_tuning_fits,learned_final_fits,negative_predictions,status
pleia_energy,3,0,45,persistence,matched_forecasting005,src.pilot_forecasters.Persistence,0.13262406650519729,3.491696175451933,29715,9906,9909,0,,0.0,0.0003066000062972307,0.0033660999906715006,0.0025873999984469265,256,3829713.2279306743,384348160,384458752,340140032,0.015625,0,0,0,complete
pleia_energy,3,0,45,xgboost,matched_forecasting005,xgboost.sklearn.XGBRegressor,0.10784311211440599,2.475975618579967,29715,9906,9909,0,,3.4944963000016287,0.8190452000126243,0.0649668000114616,0.06330409998190589,256,156530.14580149268,389226496,510345216,533053440,3.8125,4,1,0,complete
pleia_energy,3,0,45,attention_lstm,matched_forecasting005,src.attention_lstm.AttentionLSTM,0.10782320950530301,2.4763088514289455,29715,9906,9909,0,4.0,67.61865530000068,11.984493800002383,0.24937669999781065,0.269873400015058,256,36717.21629270285,504213504,625811456,665239552,78.3125,4,1,0,complete
