model,mae,rmse,n,negative_predictions,verified
persistence,20.987969087759815,41.67140770234165,34640,0,True
xgboost,17.6870488675027,35.02284153415972,34640,0,True
attention_lstm,19.931864463380457,36.97658223181227,34640,212,True
