part,bytes,sha256,members,uncompressed_bytes
core.zip,22690708,e0dbf24142c3fe1f5dbf6d2c6845fc8d4fa70ca071bf8139994403b55c75ba2a,85,46302639
contexts_01_08.zip,61321292,459553ebf6d5af57cba2a9200f9e7173d55415285cdaf2d57cdd3256ae482539,14837,59203732
contexts_09_16.zip,62708441,1d16a843b628fc132fb693af4a8539f4ec4e086c79d1470f0454b25af4d691f3,15112,60554131
contexts_17_24.zip,61907881,c4ac0b2812bc287b86f395ffacbf9bd34baf21807211939cecb9a3838bd5bedd,14947,59780168
contexts_25_32.zip,62275542,c05ed371c601a0583c7369f1626370899fd0718a868d1f18d2a3138ffef63943,15002,60134553
contexts_33_40.zip,62993214,bf4e3683365c5cf2f6e898fed8dd6700ca8de4d2c41f5157cb24f5ec0498def6,15167,60829876
contexts_41_48.zip,61960254,c94cd227d7db96652acca1421214c373ac579500134d3cf6a4e67dc2d62839cb,14947,59828192
contexts_49_56.zip,60921491,4c3388ec9e5238fbcb6207a30393b3de6ed20944770e1dc847d547c4887de759,14727,58827307
contexts_57_64.zip,61787235,4858c976cd411130fe31a9fd47f34c2be41b77eae77b2cf98bb6052e7694f5b1,14947,59661561
contexts_65_68.zip,30576477,4ebd7e6e5ba6e1e4f87eaae3596be4df4ff4b18b98e740ff1913859239650a74,7391,29522519
