dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,applicable,note,mae,rmse,pct_mae_improvement,pct_rmse_improvement,n_seeds,n_test,mae_std,rmse_std,seeds_used
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,attention_lstm,True,,0.1055962022975626,2.451804966139684,18.989972355142125,29.087304632325832,3,10106.0,0.0010096851563135,5.440461248520907e-05,"42,43,44"
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,persistence,True,,0.1416565624072057,3.457333492768957,0.0,0.0,1,10103.0,,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,seasonal_naive,True,,0.1982765020291002,3.4688215298816774,-39.969867021857326,-0.3322802713926129,1,10103.0,,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,True,,0.1117428686788008,2.4524244399884307,21.11705467087016,29.06601445542648,5,10103.0,0.0002653268875321,0.0001693805216447,"42,43,44,45,46"
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,attention_lstm,True,,0.1149869851814476,2.4529228954698703,18.82692673925953,29.051597116674458,3,10103.0,0.0031006697674473,0.0001723766933236,"42,43,44"
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,persistence,True,,0.1221719457013574,0.2150550006567548,0.0,0.0,1,9282.0,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,seasonal_naive,False,not applicable: no series contains a full seasonal cycle,,,,,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,xgboost,True,,0.0932632648079232,0.1258560508507058,23.662290657218403,41.477273038824976,5,9282.0,0.0,0.0,"42,43,44,45,46"
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,attention_lstm,True,,0.444282804426903,0.5467110147875794,-263.65370288276137,-154.21915933969575,3,9072.0,0.0201965945210898,0.041158791406854,"42,43,44"
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,persistence,True,,0.3495373504852178,0.6014576441242295,0.0,0.0,1,8862.0,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,seasonal_naive,False,not applicable: no series contains a full seasonal cycle,,,,,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,xgboost,True,,0.2198332384299327,0.3199663865733188,37.10736831850257,46.80150968249553,5,8862.0,0.0,0.0,"42,43,44,45,46"
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,attention_lstm,True,,0.5194297548691763,0.6761412960623827,-48.60493568087037,-12.417109112795226,3,8652.0,0.0724679586089044,0.0840879904362294,"42,43,44"
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,persistence,True,,0.6581389698736638,1.1031032293914644,0.0,0.0,1,8232.0,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,seasonal_naive,False,not applicable: no series contains a full seasonal cycle,,,,,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,xgboost,True,,0.3532899824592879,0.5145127696462712,46.31985057394408,53.35769527842773,5,8232.0,0.014696860785306,0.0293024360246146,"42,43,44,45,46"
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,attention_lstm,True,,0.7510530098748903,0.9453452124515768,-14.117693109566549,14.301292275874852,3,8022.0,0.1590101661400342,0.1804262660602186,"42,43,44"
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,persistence,True,,1.202868617326449,1.89014945057164,0.0,0.0,1,6972.0,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,seasonal_naive,False,not applicable: no series contains a full seasonal cycle,,,,,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,xgboost,True,,0.61628408440214,0.9040041756395636,48.76546985057092,52.17287313623984,5,6972.0,0.0089838341025123,0.0212388962601911,"42,43,44,45,46"
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,attention_lstm,True,,0.9238169242206742,1.1648792092327929,23.19885057156181,38.371052676258095,3,6762.0,0.1543742122390669,0.1856650156318851,"42,43,44"
