horizon,nominal_coverage,n_intervals,n_crossed,pct_crossed,mean_crossing_magnitude,median_crossing_magnitude,max_crossing_magnitude,coverage_before_repair,coverage_after_repair,mean_signed_width_before,mean_width_after,winkler_after
5,0.9,9282,463,4.988149105796165,0.2313825068257537,0.21277688419652208,0.7290365084490418,0.845830639948287,0.8460461107519931,1.2153689757776887,1.238452384668084,2.0635204815103436
5,0.95,9282,773,8.32794656324068,0.4487597939332653,0.3949264013254705,1.7299345545673575,0.7768799827623357,0.7805429864253394,1.3697496336118653,1.444494585284008,4.968101989733042
15,0.9,8862,57,0.6431956668923494,0.21408940186244071,0.2434516668040274,0.47346629629781134,0.8538704581358609,0.8547731888964116,1.3853027157408098,1.3880567432529196,2.2857580440190253
15,0.95,8862,580,6.544798013992327,0.7324474604256265,0.5928411442449679,1.9514886874505173,0.7790566463552245,0.802414804784473,1.7385358384793521,1.8344102521662997,5.968765933953229
30,0.9,8232,36,0.43731778425655976,0.5211716363232145,0.6518744611132945,1.0763238356924312,0.8165694849368319,0.8165694849368319,2.223934890551174,2.228493243055459,3.6189760369367225
30,0.95,8232,682,8.284742468415939,0.631483017646901,0.5514307635433386,3.1618280861249346,0.7452623906705539,0.7520651117589893,2.5445145079157614,2.649147991403416,15.652460543065509
60,0.9,6972,798,11.44578313253012,1.5423733094266372,1.3510383379738276,3.8667010435622977,0.7557372346528973,0.7946069994262766,2.989521261391722,3.3425946695737228,7.891152817002529
60,0.95,6972,523,7.5014343086632245,0.6017230868554555,0.5296251848351794,1.7574486452614018,0.7525817555938038,0.7525817555938038,3.975042203952109,4.065317928113155,18.4514108624864
