dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,role,rule,true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events,point_false_positives,point_true_negatives,far,k,m,n_violation_steps,n_alert_steps,selection_partition,n_selection_windows,selected_operating_rule,selection_reason
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,1-of-1,33,126,9,0.2075471698113207,0.7857142857142857,0.3283582089552239,4.48775661637398,35.15151515151515,0.0,42,146,2904,0.0478688524590163,1,1,494,494,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,2-of-3,26,22,16,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.7835765520652981,55.0,15.0,42,45,3005,0.0147540983606557,2,3,494,385,calibration_rule_block,4043.0,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,3-of-5,22,7,20,0.7586206896551724,0.5238095238095238,0.6197183098591549,0.2493198120207766,57.72727272727273,25.0,42,18,3032,0.0059016393442622,3,5,494,341,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,4-of-7,22,2,20,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.0712342320059361,74.0909090909091,40.0,42,5,3045,0.001639344262295,4,7,494,325,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,1-of-1,37,219,5,0.14453125,0.8809523809523809,0.2483221476510067,3.1199050257222005,19.18918918918919,0.0,42,258,8857,0.0283049917718047,1,1,777,777,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,2-of-3,32,41,10,0.4383561643835616,0.7619047619047619,0.5565217391304348,0.5840918084685398,32.8125,10.0,42,93,9022,0.0102029621503017,2,3,777,605,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,3-of-5,31,14,11,0.6888888888888889,0.7380952380952381,0.7126436781609196,0.1994459833795014,43.2258064516129,20.0,42,42,9073,0.0046077893582007,3,5,777,554,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,4-of-7,30,10,12,0.75,0.7142857142857143,0.7317073170731706,0.1424614166996438,57.66666666666666,30.0,42,28,9087,0.0030718595721338,4,7,777,533,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,1-of-1,0,232,0,0.0,,,3.305104867431737,,,0,272,9836,0.0269093787099327,1,1,272,272,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,2-of-3,0,41,0,0.0,,,0.5840918084685398,,,0,96,10012,0.0094974277799762,2,3,272,96,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
