point_model,mae,rmse,mae_excl_artefact,rmse_excl_artefact
persistence,0.14171556564107637,3.462749137985321,0.11738924755120214,2.4502865663352926
seasonal_naive,0.198186152057776,3.467963505018397,0.17386542124270307,2.4576507303424755
xgboost,0.09774311248209339,2.45099024443539,0.07342054985841497,0.154988845267582
attention_lstm,0.10198547555923132,2.4510685308000872,0.07766272006142655,0.1552547032393229
