model,mae,rmse,n,negative_predictions,verified
persistence,0.07447077772664519,0.12451008457023498,8692,0,True
xgboost,0.24349519415380105,0.41148572415493,8692,0,True
attention_lstm,2.2230605132449237,2.702293397046354,8692,0,True
