model,role,n,max_absolute_difference,atol,rtol,fits,verified
persistence,calibration,4452,0.0,1e-07,1e-07,0,True
persistence,test,8692,0.0,1e-07,1e-07,0,True
xgboost,calibration,4452,0.0,1e-07,1e-07,0,True
xgboost,test,8692,0.0,1e-07,1e-07,0,True
attention_lstm,calibration,4452,0.0,1e-07,1e-07,0,True
attention_lstm,test,8692,0.0,1e-07,1e-07,0,True
