role,n,maximum_prediction_difference,owner_sha256
calibration,17370,0.0,c22138e22e0b9ba62d24fa272b65bf151c540d8e3ffc10370c6db9be3b81c3cc
test,34640,0.0,c22138e22e0b9ba62d24fa272b65bf151c540d8e3ffc10370c6db9be3b81c3cc
