model,mae,rmse,n,negative_predictions,verified
persistence,0.23937619864742102,0.3366736506882145,9907,0,True
xgboost,2.2618093530838386,2.6662944008183764,9907,0,True
attention_lstm,3.031291556211537,3.3386067777834803,9907,0,True
