model,nominal_level,n_calibration,n_evaluation,rank,q,coverage,mpiw,winkler,negative_lower_bounds,verified
persistence,0.9,4953,9907,4459,0.6000000000000014,0.9408499041082063,1.2000000000000028,1.5472292318562646,0,True
persistence,0.95,4953,9907,4707,0.7999999999999972,0.9651761380841829,1.599999999999994,1.9044312102553733,0,True
xgboost,0.9,4953,9907,4459,1.055378723144532,0.2561824972241849,2.110757446289064,28.720407573483932,0,True
xgboost,0.95,4953,9907,4707,1.3444175720214844,0.3341071969314626,2.6888351440429688,47.78030926184681,0,True
attention_lstm,0.9,4953,9907,4459,1.7204322814941406,0.20127182800040375,3.4408645629882812,32.573000491176835,0,True
attention_lstm,0.95,4953,9907,4707,2.0961990356445312,0.2768749369132936,4.1923980712890625,51.032570378888856,0,True
