dataset,horizon,outer_fold,model_seed,model,estimator_class,payload_seed,fit_record_seeds,source_hash,protocol_hash,source_run,passed,seed_variability,actual_wrapper_random_state,actual_booster_seed,actual_n_jobs,serialized_training_seed,rng_paths
rico,60,2,45,persistence,src.pilot_forecasters.Persistence,45,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,13626bbe92c4fc2e657cc07a12d739e6c76c86fd5e6e16d106077d5e6ffeef37,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s45_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
rico,60,2,45,xgboost,xgboost.sklearn.XGBRegressor,45,[45],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,13626bbe92c4fc2e657cc07a12d739e6c76c86fd5e6e16d106077d5e6ffeef37,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s45_v1,True,,45.0,45.0,1.0,,
rico,60,2,45,attention_lstm,src.attention_lstm.AttentionLSTM,45,[45],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,13626bbe92c4fc2e657cc07a12d739e6c76c86fd5e6e16d106077d5e6ffeef37,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s45_v1,True,,,,,45.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
