horizon,level,method,group_id,channel,maximum_arithmetic_difference,passed
1,0.9,recentred_enbpi_static,Lamb_assembly_Cesar,numerical_only,0.0,True
1,0.9,recentred_enbpi_static,Lamb_assembly_Cesar,availability_only,0.0,True
1,0.9,recentred_enbpi_static,Lamb_assembly_Cesar,combined,0.0,True
1,0.9,recentred_enbpi_static,Moose_education_Ricardo,numerical_only,2.842170943040401e-14,True
1,0.9,recentred_enbpi_static,Moose_education_Ricardo,availability_only,2.842170943040401e-14,True
1,0.9,recentred_enbpi_static,Moose_education_Ricardo,combined,2.842170943040401e-14,True
1,0.9,recentred_enbpi_static,Mouse_health_Estela,numerical_only,0.0,True
1,0.9,recentred_enbpi_static,Mouse_health_Estela,availability_only,0.0,True
1,0.9,recentred_enbpi_static,Mouse_health_Estela,combined,0.0,True
1,0.9,recentred_enbpi_static,Mouse_health_Justin,numerical_only,0.0,True
1,0.9,recentred_enbpi_static,Mouse_health_Justin,availability_only,0.0,True
1,0.9,recentred_enbpi_static,Mouse_health_Justin,combined,0.0,True
1,0.9,recentred_enbpi_static,__pooled__,numerical_only,0.0,True
1,0.9,recentred_enbpi_static,__pooled__,availability_only,0.0,True
1,0.9,recentred_enbpi_static,__pooled__,combined,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Benny,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Benny,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Benny,combined,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Ian,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Ian,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Eagle_assembly_Ian,combined,0.0,True
1,0.9,recentred_enbpi_updated,Fox_education_Henrietta,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Fox_education_Henrietta,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Fox_education_Henrietta,combined,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Colette,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Colette,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Colette,combined,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Dona,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Dona,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Hog_assembly_Dona,combined,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Bertie,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Bertie,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Bertie,combined,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Cesar,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Cesar,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Lamb_assembly_Cesar,combined,0.0,True
1,0.9,recentred_enbpi_updated,Moose_education_Ricardo,numerical_only,2.842170943040401e-14,True
1,0.9,recentred_enbpi_updated,Moose_education_Ricardo,availability_only,2.842170943040401e-14,True
1,0.9,recentred_enbpi_updated,Moose_education_Ricardo,combined,2.842170943040401e-14,True
1,0.9,recentred_enbpi_updated,Mouse_health_Estela,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Mouse_health_Estela,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Mouse_health_Estela,combined,0.0,True
1,0.9,recentred_enbpi_updated,Mouse_health_Justin,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,Mouse_health_Justin,availability_only,0.0,True
1,0.9,recentred_enbpi_updated,Mouse_health_Justin,combined,0.0,True
1,0.9,recentred_enbpi_updated,__pooled__,numerical_only,0.0,True
1,0.9,recentred_enbpi_updated,__pooled__,availability_only,0.0,True
