dataset,outer_fold,model_seed,horizon,level,method,support,group_id,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Eagle_assembly_Benny,3475,0.878273381294964,-0.021726618705036005,0.021726618705036005,22.37182071721028,36.47639125530235,5.7399201233297665,9.309810684877766,19946.222428570938,301187.1980842181,77742.07699230572,126755.45961217568,3052,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Eagle_assembly_Ian,3475,0.8224460431654677,-0.07755395683453237,0.07755395683453237,158.9254000945228,324.0709475700203,43.68495844949926,74.63300169066889,151805.23061200994,19356045.171223864,552265.7653284667,1126146.5428058205,2858,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Fox_education_Henrietta,3475,0.8820143884892087,-0.017985611510791366,0.017985611510791366,5.662937310620318,7.73665598005468,1.027876917533207,1.6543231681345965,3571.8722884278945,9510.328377578437,19678.707154405605,26884.879530690014,3065,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Hog_assembly_Colette,3475,0.7602877697841727,-0.13971223021582735,0.13971223021582735,127.5604200931355,263.45014143832503,41.165736659518025,56.46588873791632,143050.93489182513,11079678.15359554,443272.4598236459,915489.2414981795,2642,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Hog_assembly_Dona,3475,0.8489208633093526,-0.05107913669064745,0.05107913669064745,113.87885499467336,168.67351439812435,31.795408484196855,40.998567054495616,110489.04448258407,5841066.689313857,395729.02110648993,586140.4625334821,2950,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Lamb_assembly_Bertie,3475,0.701294964028777,-0.19870503597122302,0.19870503597122302,46.204938762665236,74.48166262693596,10.924961869223676,20.058717081383662,37964.24249555227,1398173.6550546994,160562.1622002617,258823.77762860246,2437,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Lamb_assembly_Cesar,3475,0.7125179856115108,-0.18748201438848922,0.18748201438848922,8.037899100247662,16.650698520225937,1.1785197284937245,1.8395055010428663,4095.3560565156927,11758.637197075208,27931.699373360625,57861.17735778513,2476,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Moose_education_Ricardo,3365,0.9280832095096583,0.028083209509658258,0.028083209509658258,38.89958028165781,49.449491986368244,7.120756316996951,9.995864245864386,23961.34500669474,336221.7213031887,130897.08764777854,166397.54053412913,3123,3365,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Mouse_health_Estela,3475,0.9211510791366907,0.021151079136690676,0.021151079136690676,55.21976278371162,71.48901040907363,9.60996518401954,18.04494816126868,33394.6290144679,1131530.0356464873,191888.6756733979,248424.31117153086,3201,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,native,Mouse_health_Justin,3475,0.8520863309352518,-0.047913669064748254,0.047913669064748254,106.3823774899861,173.03075126462733,19.792400299237777,36.30219926738419,68778.59103985128,4579527.60897982,369678.7617777017,601281.86064458,2961,3475,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Eagle_assembly_Benny,3470,0.8780979827089337,-0.021902017291066334,0.021902017291066334,22.382611037706198,36.50750516446988,5.742441538239487,9.311872144759526,19926.27213769102,300887.0410560089,77667.6603008405,126681.04292071049,3047,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Eagle_assembly_Ian,3470,0.8221902017291066,-0.0778097982708934,0.0778097982708934,159.0647448840986,324.44825424356657,43.73002930629894,74.68464711067266,151743.2016928573,19354953.9037386,551954.6647478221,1125835.442225176,2853,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Fox_education_Henrietta,3470,0.8818443804034583,-0.018155619596541772,0.018155619596541772,5.661217077071755,7.737923813753141,1.0284524309584524,1.6553114199565357,3568.72993542583,9507.993962723674,19644.42325743899,26850.5956337234,3060,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Hog_assembly_Colette,3470,0.7605187319884726,-0.13948126801152738,0.13948126801152738,127.62975549002758,263.71016730738876,41.19291243852476,56.49696554588919,142939.4061616809,11075917.692150064,442875.2515503957,915074.280556639,2639,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Hog_assembly_Dona,3470,0.8487031700288185,-0.05129682997118157,0.05129682997118157,113.9090901575133,168.78270440160327,31.814295281142304,41.02081598227397,110395.60462556379,5838994.483164995,395264.5428465712,585675.9842735634,2945,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Lamb_assembly_Bertie,3470,0.7023054755043228,-0.19769452449567726,0.19769452449567726,46.25793925273024,74.48523237665076,10.939267641374594,20.073127577016116,37959.25871556984,1398168.664009382,160515.04920697393,258463.75634697813,2437,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Lamb_assembly_Cesar,3470,0.7135446685878962,-0.1864553314121038,0.1864553314121038,8.035903855928773,16.570093970075163,1.1787394168683738,1.8404163958270543,4090.225776533257,11753.349809800784,27884.58638007284,57498.22607616082,2476,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Moose_education_Ricardo,3360,0.9279761904761905,0.027976190476190488,0.027976190476190488,38.8806235831132,49.44623456119374,7.119905143017846,9.99535183760794,23922.88128053996,335687.71608144336,130638.89523926034,166139.34812561097,3118,3360,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Mouse_health_Estela,3470,0.9213256484149855,0.02132564841498552,0.02132564841498552,55.25686725418522,71.52104787128299,9.618650091196468,18.05709642826125,33376.715816451746,1131423.7980257524,191741.3293720227,248178.03611335196,3197,3470,0,0,complete
bdg2,2,42,1,0.9,quantile_uncalibrated,common,Mouse_health_Justin,3470,0.8524495677233429,-0.04755043227665712,0.04755043227665712,106.44564188152815,172.88903801623553,19.77450014035668,36.294039487437104,68617.51548703767,4570882.839035284,369366.37732890266,599924.9619163373,2958,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Eagle_assembly_Benny,3475,0.9306474820143885,0.030647482014388494,0.030647482014388494,26.891113418766533,36.863400463115234,5.7399201233297665,9.309810684877766,19946.222428570938,301187.1980842181,93446.6191302137,128100.31660932543,3234,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Eagle_assembly_Ian,3475,0.8359712230215828,-0.06402877697841725,0.06402877697841725,163.44469279607907,321.1233994230845,43.68495844949926,74.63300169066889,151805.23061200994,19356045.171223864,567970.3074663747,1115903.8129952187,2905,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Fox_education_Henrietta,3475,0.9867625899280575,0.08676258992805752,0.08676258992805752,10.182230012176573,10.688924139901056,1.027876917533207,1.6543231681345965,3571.8722884278945,9510.328377578437,35383.249292313594,37144.01138615617,3429,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Hog_assembly_Colette,3475,0.7766906474820144,-0.12330935251798558,0.12330935251798558,132.07971279469177,257.89150333672427,41.165736659518025,56.46588873791632,143050.93489182513,11079678.15359554,458977.0019615539,896172.9740951168,2699,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Hog_assembly_Dona,3475,0.8679136690647482,-0.03208633093525182,0.03208633093525182,118.39814769622961,166.95086367444588,31.795408484196855,40.998567054495616,110489.04448258407,5841066.689313857,411433.5632443979,580154.2512686994,3016,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Lamb_assembly_Bertie,3475,0.7856115107913669,-0.11438848920863309,0.11438848920863309,50.7242314642215,70.04812127672584,10.924961869223676,20.058717081383662,37964.24249555227,1398173.6550546994,176266.70433816971,243417.22143662226,2730,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Lamb_assembly_Cesar,3475,0.8477697841726619,-0.05223021582733811,0.05223021582733811,12.557191801803917,15.452384181651153,1.1785197284937245,1.8395055010428663,4095.3560565156927,11758.637197075208,43636.241511268614,53697.035031237756,2946,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Moose_education_Ricardo,3365,0.950074294205052,0.05007429420505194,0.05007429420505194,43.41887298321407,50.76476374762788,7.120756316996951,9.995864245864386,23961.34500669474,336221.7213031887,146104.50758851535,170823.43001076783,3197,3365,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Mouse_health_Estela,3475,0.9490647482014388,0.0490647482014388,0.0490647482014388,59.73905548526788,73.2362797401308,9.60996518401954,18.04494816126868,33394.6290144679,1131530.0356464873,207593.2178113059,254496.07209695454,3298,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,native,Mouse_health_Justin,3475,0.8722302158273382,-0.02776978417266185,0.02776978417266185,110.9016701915424,170.59641681401013,19.792400299237777,36.30219926738419,68778.59103985128,4579527.60897982,385383.30391560984,592822.5484286852,3031,3475,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Eagle_assembly_Benny,3470,0.9305475504322767,0.030547550432276638,0.030547550432276638,26.90190373926246,36.88856007330042,5.742441538239487,9.311872144759526,19926.27213769102,300887.0410560089,93349.60597524073,128003.30345435246,3229,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Eagle_assembly_Ian,3470,0.8357348703170029,-0.06426512968299714,0.06426512968299714,163.58403758565484,321.4899469599615,43.73002930629894,74.68464711067266,151743.2016928573,19354953.9037386,567636.6104222223,1115570.1159510664,2900,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Fox_education_Henrietta,3470,0.9867435158501441,0.08674351585014406,0.08674351585014406,10.18050977862801,10.687934013164774,1.0284524309584524,1.6553114199565357,3568.72993542583,9507.993962723674,35326.3689318392,37087.13102568177,3424,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Hog_assembly_Colette,3470,0.7763688760806916,-0.12363112391930842,0.12363112391930842,132.14904819158383,258.1421237343974,41.19291243852476,56.49696554588919,142939.4061616809,11075917.692150064,458557.1972247959,895753.1693583588,2694,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Hog_assembly_Dona,3470,0.8677233429394813,-0.03227665706051874,0.03227665706051874,118.42838285906956,167.05105952313338,31.814295281142304,41.02081598227397,110395.60462556379,5838994.483164995,410946.4885209714,579667.1765452728,3011,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Lamb_assembly_Bertie,3470,0.7867435158501441,-0.1132564841498559,0.1132564841498559,50.77723195428649,70.08167284414013,10.939267641374594,20.073127577016116,37959.25871556984,1398168.664009382,176196.99488137412,243183.40476916623,2730,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Lamb_assembly_Cesar,3470,0.8489913544668588,-0.05100864553314122,0.05100864553314122,12.55519655748503,15.406423159591268,1.1787394168683738,1.8404163958270543,4090.225776533257,11753.349809800784,43566.53205447305,53460.2883637817,2946,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Moose_education_Ricardo,3360,0.95,0.04999999999999993,0.04999999999999993,43.399916284669445,50.756738434149355,7.119905143017846,9.99535183760794,23922.88128053996,335687.71608144336,145823.71871648933,170542.64113874183,3192,3360,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Mouse_health_Estela,3470,0.9492795389048991,0.04927953890489911,0.04927953890489911,59.77615995574148,73.28179429791463,9.618650091196468,18.05709642826125,33376.715816451746,1131423.7980257524,207423.27504642293,254287.82621376376,3294,3470,0,0,complete
bdg2,2,42,1,0.9,cqr,common,Mouse_health_Justin,3470,0.8726224783861671,-0.02737752161383289,0.02737752161383289,110.96493458308444,170.47962666107392,19.77450014035668,36.294039487437104,68617.51548703767,4570882.839035284,385048.323003303,591564.3045139265,3028,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Eagle_assembly_Benny,3475,0.9902158273381295,0.0902158273381295,0.0902158273381295,100.45161294555693,102.83172346106251,11.401450698129496,13.662884809031057,39620.041176,648693.6140343593,349069.35498581035,357340.23902719223,3441,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Eagle_assembly_Ian,3475,0.7323741007194244,-0.16762589928057559,0.16762589928057559,100.45161294555693,470.69911857466604,47.12763507539568,76.27408562772438,163768.531887,20216633.080750365,349069.35498581035,1635679.4370469644,2545,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Fox_education_Henrietta,3475,1.0,0.09999999999999998,0.09999999999999998,100.45161294555693,100.45161294555693,12.143863922877697,12.291815020056982,42199.927132,525033.2897933619,349069.35498581035,349069.35498581035,3475,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Hog_assembly_Colette,3475,0.6728057553956834,-0.2271942446043166,0.2271942446043166,100.45161294555695,339.5869526143681,41.90816365640287,57.009577375352485,145630.86870599998,11294069.39599415,349069.3549858104,1180064.6603349291,2338,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Hog_assembly_Dona,3475,0.8034532374100719,-0.09654676258992811,0.09654676258992811,100.45161294555695,196.42887071607842,32.156099884892086,41.24406441628442,111742.44709999999,5911228.152271798,349069.3549858104,682590.3257383725,2792,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Lamb_assembly_Bertie,3475,0.9522302158273381,0.05223021582733811,0.05223021582733811,100.45161294555695,122.61204781287792,17.576806216402876,22.863422440796857,61079.401602,1816507.8978295086,349069.3549858104,426076.8661497508,3309,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Lamb_assembly_Cesar,3475,1.0,0.09999999999999998,0.09999999999999998,100.45161294555693,100.45161294555693,13.538796998561153,14.231583803276466,47047.31957000001,703819.4719851417,349069.35498581035,349069.35498581035,3475,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Moose_education_Ricardo,3365,0.9988112927191679,0.09881129271916789,0.09881129271916789,100.45161294555696,100.98050729908854,8.952988020802378,12.178859109710716,30126.804690000004,499112.31000572816,338019.6775617992,339799.40706143295,3361,3365,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Mouse_health_Estela,3475,0.9746762589928057,0.07467625899280572,0.07467625899280572,100.45161294555695,118.41392526787862,13.57853938503597,22.92932496107131,47185.424363,1826994.9525171674,349069.3549858104,411488.39030587825,3387,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,Mouse_health_Justin,3475,0.8725179856115108,-0.027482014388489184,0.027482014388489184,100.45161294555692,183.1929105275805,31.377731501582733,46.56536373865782,109037.616968,7534957.522894443,349069.3549858103,636595.3640833423,3032,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Eagle_assembly_Benny,3470,0.9902017291066283,0.09020172910662827,0.09020172910662827,100.45161294555695,102.83515301511945,11.397825427665706,13.660199389260804,39550.454234000004,647505.6343196335,348567.0969210826,356837.98096246447,3436,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Eagle_assembly_Ian,3470,0.7319884726224783,-0.16801152737752167,0.16801152737752167,100.45161294555695,471.23261642139386,47.1768274573487,76.32685167693252,163703.591277,20215485.355586223,348567.0969210826,1635177.1789822367,2540,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Fox_education_Henrietta,3470,1.0,0.09999999999999998,0.09999999999999998,100.45161294555695,100.45161294555695,12.14272324870317,12.29085422854124,42135.249673,524195.8889053579,348567.0969210826,348567.0969210826,3470,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Hog_assembly_Colette,3470,0.6729106628242075,-0.2270893371757925,0.2270893371757925,100.45161294555695,339.8370179512833,41.909893693371764,57.0289779126995,145427.33111600002,11285495.996532071,348567.0969210826,1179234.4522909531,2335,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Hog_assembly_Dona,3470,0.8031700288184438,-0.09682997118155623,0.09682997118155623,100.45161294555695,196.5671664765547,32.17189922190202,41.264895262870134,111636.49029999999,5908686.7862630775,348567.0969210826,682088.0676736447,2787,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Lamb_assembly_Bertie,3470,0.9521613832853026,0.05216138328530262,0.05216138328530262,100.45161294555695,122.64397927522276,17.574610591354464,22.86839770365496,60983.898751999994,1814683.7389578843,348567.0969210826,425574.608085023,3304,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Lamb_assembly_Cesar,3470,1.0,0.09999999999999998,0.09999999999999998,100.45161294555695,100.45161294555695,13.53074069740634,14.223308713687473,46951.67022,701989.7123540572,348567.0969210826,348567.0969210826,3470,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Moose_education_Ricardo,3360,0.9988095238095238,0.09880952380952379,0.09880952380952379,100.45161294555695,100.98129434425749,8.93457400297619,12.157113481404572,30020.16865,496592.57155115594,337517.41949707136,339297.1489967052,3356,3360,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Mouse_health_Estela,3470,0.9746397694524496,0.07463976945244954,0.07463976945244954,100.45161294555695,118.43980756229121,13.582251081556196,22.940846803633406,47130.411253,1826200.1086751865,348567.0969210826,410986.1322411505,3382,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,Mouse_health_Justin,3470,0.8729106628242075,-0.02708933717579254,0.02708933717579254,100.4516129455569,182.83287231601827,31.35458146916427,46.53043564292951,108800.39769800002,7512832.600689193,348567.09692108247,634430.0669365834,3029,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Eagle_assembly_Benny,3475,0.9174100719424461,0.017410071942446037,0.017410071942446037,32.3977178123741,45.86555565985611,11.401450698129496,13.662884809031057,39620.041176,648693.6140343593,112582.06939799999,159382.805918,3188,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Eagle_assembly_Ian,3475,0.860431654676259,-0.03956834532374098,0.03956834532374098,183.46384289496405,390.34747151079137,47.12763507539568,76.27408562772438,163768.531887,20216633.080750365,637536.85406,1356457.4635,2990,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Fox_education_Henrietta,3475,0.8883453237410072,-0.011654676258992858,0.011654676258992858,5.836890647482013,9.288035953956836,12.143863922877697,12.291815020056982,42199.927132,525033.2897933619,20283.194999999996,32275.924940000004,3087,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Hog_assembly_Colette,3475,0.9041726618705036,0.00417266187050358,0.00417266187050358,185.18201558848918,254.19710617841727,41.90816365640287,57.009577375352485,145630.86870599998,11294069.39599415,643507.5041699999,883334.94397,3142,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Hog_assembly_Dona,3475,0.9047482014388489,0.004748201438848909,0.004748201438848909,131.09279221294963,178.77409932086331,32.156099884892086,41.24406441628442,111742.44709999999,5911228.152271798,455547.45294,621239.99514,3144,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Lamb_assembly_Bertie,3475,0.9243165467625899,0.024316546762589875,0.024316546762589875,68.84740763280575,99.37424233208633,17.576806216402876,22.863422440796857,61079.401602,1816507.8978295086,239244.741524,345325.492104,3212,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Lamb_assembly_Cesar,3475,0.8702158273381295,-0.0297841726618705,0.0297841726618705,12.693152702733814,21.05363272,13.538796998561153,14.231583803276466,47047.31957000001,703819.4719851417,44108.705642,73161.373702,3024,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Moose_education_Ricardo,3365,0.9007429420505201,0.0007429420505200568,0.0007429420505200568,35.46819597622586,52.171134222882614,8.952988020802378,12.178859109710716,30126.804690000004,499112.31000572816,119350.47946,175555.86666,3031,3365,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Mouse_health_Estela,3475,0.9122302158273381,0.012230215827338076,0.012230215827338076,62.127025407194246,98.76128516546763,13.57853938503597,22.92932496107131,47185.424363,1826994.9525171674,215891.41329,343195.46595,3170,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,Mouse_health_Justin,3475,0.936115107913669,0.03611510791366901,0.03611510791366901,133.29409505611505,184.50660698705033,31.377731501582733,46.56536373865782,109037.616968,7534957.522894443,463196.98031999986,641160.45928,3253,3475,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Eagle_assembly_Benny,3470,0.9175792507204611,0.01757925072046107,0.01757925072046107,32.39890352737752,45.872793406340065,11.397825427665706,13.660199389260804,39550.454234000004,647505.6343196335,112424.19524,159178.59312000003,3184,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Eagle_assembly_Ian,3470,0.8602305475504323,-0.039769452449567755,0.039769452449567755,183.4356819769452,390.61741380403464,47.1768274573487,76.32685167693252,163703.591277,20215485.355586223,636521.8164599999,1355442.4259000001,2985,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Fox_education_Henrietta,3470,0.8881844380403459,-0.011815561959654164,0.011815561959654164,5.836553345821325,9.292671484149855,12.14272324870317,12.29085422854124,42135.249673,524195.8889053579,20252.840109999997,32245.570049999995,3082,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Hog_assembly_Colette,3470,0.9040345821325648,0.004034582132564801,0.004034582132564801,185.18778298847258,254.3023189538905,41.909893693371764,57.0289779126995,145427.33111600002,11285495.996532071,642601.6069699998,882429.04677,3137,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Hog_assembly_Dona,3470,0.9046109510086455,0.004610951008645503,0.004610951008645503,131.09447715850143,178.84448931988473,32.17189922190202,41.264895262870134,111636.49029999999,5908686.7862630775,454897.83574,620590.37794,3139,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Lamb_assembly_Bertie,3470,0.924207492795389,0.02420749279538903,0.02420749279538903,68.8544974853026,99.42531897809799,17.574610591354464,22.86839770365496,60983.898751999994,1814683.7389578843,238925.10627400002,345005.856854,3207,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Lamb_assembly_Cesar,3470,0.8700288184438041,-0.029971181556195936,0.029971181556195936,12.691696330547552,21.064223148991356,13.53074069740634,14.223308713687473,46951.67022,701989.7123540572,44040.186267000005,73092.85432700001,3019,3470,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,Moose_education_Ricardo,3360,0.9011904761904762,0.0011904761904761862,0.0011904761904761862,35.46685458928572,52.10744530357143,8.93457400297619,12.157113481404572,30020.16865,496592.57155115594,119168.63142,175081.01622000002,3028,3360,0,0,complete
