horizon,calibration_rows,nonfinite_oob_scores,finite_oob_scores,fraction_nonfinite
1,17370,1790,15580,0.10305123776626367
3,17360,1793,15567,0.10328341013824885
6,17350,1793,15557,0.103342939481268
