action,actual_exit,started_utc,ended_utc,pid,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
run,0,2026-09-14T04:28:14.325921+00:00,2026-09-14T04:47:13.832947+00:00,27184,1139.5046788999898,320696320,978305024,279711744,1001127936,657608704,1035694080,1728753664,0.05,1099.859375
validate,0,2026-09-14T05:16:54.629537+00:00,2026-09-14T05:32:52.019859+00:00,25876,957.3928741999989,319848448,960634880,278650880,1002012672,640786432,1036623872,2896592896,0.05,933.59375
resume,0,2026-09-14T05:32:57.704010+00:00,2026-09-14T05:33:01.536752+00:00,27468,3.8329570000059903,319873024,329445376,278999040,286334976,9572352,329445376,3377528832,0.05,3.796875
validate_failed_v1,1,2026-09-14T04:47:35.481128+00:00,2026-09-14T04:48:12.689713+00:00,27732,37.1303251000063,320405504,990916608,279183360,1001099264,670511104,1037340672,2904559616,0.05,32.53125
validate_failed_v2,1,2026-09-14T04:57:23.304057+00:00,2026-09-14T04:59:18.003610+00:00,26824,114.6695211000042,319995904,958939136,278941696,1000620032,638943232,1036054528,2551963648,0.05,111.4375
validate_failed_v3,1,2026-09-14T05:04:15.797566+00:00,2026-09-14T05:06:02.479977+00:00,22176,106.65495720000763,320159744,997666816,278781952,1001107456,677507072,1036554240,2896039936,0.05,103.90625
validate_failed_v4,1,2026-09-14T05:10:19.371370+00:00,2026-09-14T05:13:35.409826+00:00,28384,196.00234830001136,320036864,971378688,279183360,1000660992,651341824,1036451840,2385080320,0.05,190.65625
