role,n,maximum_prediction_difference,owner_sha256
calibration,17370,0.0,18642da57566524a1b2a45f5ab7247a67e1128ed88a7721253a70f735e5b2633
test,34640,0.0,18642da57566524a1b2a45f5ab7247a67e1128ed88a7721253a70f735e5b2633
