phase,dataset,horizon,outer_fold,scheme,boundary,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
before,bdg2,1,1,chronological,refit_calibration->outer_test,26000,34670,2016-11-28 03:00:00,2017-03-16 12:00:00,2017-03-16 13:00:00,2017-03-16 14:00:00,2017-08-08 11:00:00,2017-03-16 15:00:00,2017-08-08 12:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,f7824bbc2b4933097cfbb2f0984763d4b6c1199aa419d125b9d09cd13f2cfb55,b97a53482d14bd2d5155a54322882d98ba0b15b98080e4b450e7c5f191db8451
before,bdg2,1,2,chronological,inner_train->inner_calib,34662,17331,2016-01-07 23:00:00,2016-05-31 12:00:00,2016-05-31 13:00:00,2016-05-31 12:00:00,2016-08-11 18:00:00,2016-05-31 13:00:00,2016-08-11 19:00:00,19,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,fffc8ac464a79fa35f4ebe34672cf9f2c27b41ba128744a390eb9067de33a891,a9cb5bfd80fae314b8ea800469ef92c317497ec87989bdf12ae972e063e38d78
before,bdg2,1,2,chronological,inner_calib->inner_select,17331,17332,2016-05-31 12:00:00,2016-08-11 18:00:00,2016-08-11 19:00:00,2016-08-11 18:00:00,2016-10-22 23:00:00,2016-08-11 19:00:00,2016-10-23 00:00:00,18,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,a9cb5bfd80fae314b8ea800469ef92c317497ec87989bdf12ae972e063e38d78,a2c5015e2cd1c6e1372bbda2220a58bc5b74e2339fdd6b0950c51c64c4f86931
before,bdg2,1,2,chronological,inner_select->outer_test,17332,34670,2016-08-11 18:00:00,2016-10-22 23:00:00,2016-10-23 00:00:00,2016-10-23 01:00:00,2017-03-16 14:00:00,2016-10-23 02:00:00,2017-03-16 15:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,a2c5015e2cd1c6e1372bbda2220a58bc5b74e2339fdd6b0950c51c64c4f86931,b5ebffc2d05901c986f649a4819b395406351798c1cd6a24d3b968f81c7c9702
before,bdg2,1,2,chronological,refit_train->refit_calibration,51993,17332,2016-01-07 23:00:00,2016-08-11 18:00:00,2016-08-11 19:00:00,2016-08-11 18:00:00,2016-10-22 23:00:00,2016-08-11 19:00:00,2016-10-23 00:00:00,18,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,7ab2d3b45fd25d4c607c0e635fb59ce5779425949f001c1be15fa709304bfcfd,a2c5015e2cd1c6e1372bbda2220a58bc5b74e2339fdd6b0950c51c64c4f86931
before,bdg2,1,2,chronological,refit_calibration->outer_test,17332,34670,2016-08-11 18:00:00,2016-10-22 23:00:00,2016-10-23 00:00:00,2016-10-23 01:00:00,2017-03-16 14:00:00,2016-10-23 02:00:00,2017-03-16 15:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,a2c5015e2cd1c6e1372bbda2220a58bc5b74e2339fdd6b0950c51c64c4f86931,b5ebffc2d05901c986f649a4819b395406351798c1cd6a24d3b968f81c7c9702
before,bdg2,3,0,chronological,inner_train->inner_calib,69321,34660,2016-01-07 21:00:00,2016-10-22 21:00:00,2016-10-23 00:00:00,2016-10-22 21:00:00,2017-03-16 09:00:00,2016-10-23 00:00:00,2017-03-16 12:00:00,36,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,4a57c6a396a3c6f03f13615ef3d2d43db8bd04766a97ee6c3eae1a1a8680a3a6,75b4629d71aa5f5fefac43fc81ec8ae83f2777fd487769dd870deca3fd650e5b
before,bdg2,3,0,chronological,inner_calib->inner_select,34660,34661,2016-10-22 21:00:00,2017-03-16 09:00:00,2017-03-16 12:00:00,2017-03-16 09:00:00,2017-08-08 05:00:00,2017-03-16 12:00:00,2017-08-08 08:00:00,34,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,75b4629d71aa5f5fefac43fc81ec8ae83f2777fd487769dd870deca3fd650e5b,3f8c33710be1415ad1ddd822d8696f19d9efdf8ccd663fd1c282a5756ebd1a03
before,bdg2,3,0,chronological,inner_select->outer_test,34661,34672,2017-03-16 09:00:00,2017-08-08 05:00:00,2017-08-08 08:00:00,2017-08-08 09:00:00,2017-12-31 20:00:00,2017-08-08 12:00:00,2017-12-31 23:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,3f8c33710be1415ad1ddd822d8696f19d9efdf8ccd663fd1c282a5756ebd1a03,240e1624a349c98b408e82d3234f3483e45a434452d066acac4371eba30a7ca1
before,bdg2,3,0,chronological,refit_train->refit_calibration,103981,34661,2016-01-07 21:00:00,2017-03-16 09:00:00,2017-03-16 12:00:00,2017-03-16 09:00:00,2017-08-08 05:00:00,2017-03-16 12:00:00,2017-08-08 08:00:00,34,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,e6c07e139b4114f6f98c7e6fb288b35a826e6f4f54314e89616d8bce537e7987,3f8c33710be1415ad1ddd822d8696f19d9efdf8ccd663fd1c282a5756ebd1a03
