epoch,train_mse,validation_mae
1,0.37721498982638113,1.2361391698921649
2,0.15008240569795991,1.1554046373130384
3,0.13470841381248141,1.1172847249680782
4,0.12244080519030923,1.0835202188979156
5,0.10552783238631358,1.0215240126979446
6,0.09134943847390431,0.9892146732127682
7,0.07895007180255054,0.9307100365557253
8,0.07425133695167933,0.8923427721438468
9,0.06696431126601285,0.8581158608721858
10,0.06530970275564595,0.839370665610908
11,0.06186206694342492,0.8647520806519245
12,0.059898040853132266,0.7732444285479635
13,0.06018480070129449,0.7758168281003505
14,0.05710141865491048,0.7968825427143773
15,0.05465725818214405,0.8090941395621859
16,0.054984816225327235,0.7451123347404726
17,0.05313378522652998,0.7881886572578753
18,0.053572469348228235,0.7825197248164151
19,0.0523444312500294,0.7555453128464125
20,0.05281574522481618,0.7551916965160244
21,0.05042533432548274,0.7640387201665556
