candidate_id,family,severity,channel,n_events,n_detected,recall
c0000_f5146f1247fa,bias,0.5,availability_only,512,0,0.0
c0000_f5146f1247fa,bias,0.5,combined,512,385,0.751953125
c0000_f5146f1247fa,bias,0.5,numerical_only,512,385,0.751953125
c0000_f5146f1247fa,bias,1.0,availability_only,511,0,0.0
c0000_f5146f1247fa,bias,1.0,combined,511,453,0.8864970645792564
c0000_f5146f1247fa,bias,1.0,numerical_only,511,453,0.8864970645792564
c0000_f5146f1247fa,bias,2.0,availability_only,510,0,0.0
c0000_f5146f1247fa,bias,2.0,combined,510,483,0.9470588235294117
c0000_f5146f1247fa,bias,2.0,numerical_only,510,483,0.9470588235294117
c0000_f5146f1247fa,block_missing,0.5,availability_only,522,522,1.0
c0000_f5146f1247fa,block_missing,0.5,combined,522,475,0.9099616858237548
c0000_f5146f1247fa,block_missing,0.5,numerical_only,522,232,0.4444444444444444
c0000_f5146f1247fa,block_missing,1.0,availability_only,525,525,1.0
c0000_f5146f1247fa,block_missing,1.0,combined,525,479,0.9123809523809524
c0000_f5146f1247fa,block_missing,1.0,numerical_only,525,248,0.4723809523809524
c0000_f5146f1247fa,block_missing,2.0,availability_only,524,524,1.0
c0000_f5146f1247fa,block_missing,2.0,combined,524,458,0.8740458015267175
c0000_f5146f1247fa,block_missing,2.0,numerical_only,524,267,0.5095419847328244
c0000_f5146f1247fa,drift,0.5,availability_only,510,0,0.0
c0000_f5146f1247fa,drift,0.5,combined,510,340,0.6666666666666666
c0000_f5146f1247fa,drift,0.5,numerical_only,510,340,0.6666666666666666
c0000_f5146f1247fa,drift,1.0,availability_only,510,0,0.0
c0000_f5146f1247fa,drift,1.0,combined,510,434,0.8509803921568627
c0000_f5146f1247fa,drift,1.0,numerical_only,510,434,0.8509803921568627
c0000_f5146f1247fa,drift,2.0,availability_only,510,0,0.0
c0000_f5146f1247fa,drift,2.0,combined,510,469,0.9196078431372549
c0000_f5146f1247fa,drift,2.0,numerical_only,510,469,0.9196078431372549
c0000_f5146f1247fa,dropout,0.5,availability_only,500,0,0.0
c0000_f5146f1247fa,dropout,0.5,combined,500,468,0.936
c0000_f5146f1247fa,dropout,0.5,numerical_only,500,468,0.936
c0000_f5146f1247fa,dropout,1.0,availability_only,501,0,0.0
