candidate_id,feasible,reasons,equal_fold_custom_synthetic_f1,equal_fold_workload,equal_fold_detected_delay,outer_fold,selection
c0024_ba16b82adffd,False,fold1:workload_above_ceiling,0.4413930138641656,0.9601405738615848,60.0,0,primary
c0025_63dd1cc1601e,False,fold0:recall_below_floor;fold1:recall_below_floor,0.2034321294668058,0.0686492986542902,120.0,0,primary
c0026_47d9fe7d15ba,False,fold0:recall_below_floor;fold1:recall_below_floor,0.1394386032904141,0.0469949833526857,180.0,0,primary
c0000_f5146f1247fa,True,,0.3001562878505283,1.812037590326256,60.0,0,inverse
c0001_ee0570e08213,False,fold0:recall_below_floor;fold1:recall_below_floor,0.276538301373433,0.1667882164637655,120.0,0,inverse
c0002_fa76e087b17d,False,fold0:recall_below_floor;fold1:recall_below_floor,0.2340057607613593,0.1492805880956703,180.0,0,inverse
c0012_23099bed3753,False,fold0:recall_below_floor,0.3830508123050797,0.9113047490600864,60.0,0,inverse
c0013_a21278d4e492,False,fold0:recall_below_floor;fold1:recall_below_floor,0.2001249913621536,0.0405458471903718,120.0,0,inverse
c0014_54a0e1ef5720,False,fold0:recall_below_floor;fold1:recall_below_floor,0.1520635138531625,0.0414670108457545,180.0,0,inverse
c0024_ba16b82adffd,True,,0.4413930138641656,0.9601405738615848,60.0,0,inverse
c0025_63dd1cc1601e,False,fold0:recall_below_floor;fold1:recall_below_floor,0.2034321294668058,0.0686492986542902,120.0,0,inverse
c0026_47d9fe7d15ba,False,fold0:recall_below_floor;fold1:recall_below_floor,0.1394386032904141,0.0469949833526857,180.0,0,inverse
