candidate_id,group_id,exposure_days,clean_episodes,unmatched_episodes,corrupted_episodes,time_in_alert_days,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,outer_fold
c0012_23099bed3753,Hog_assembly_Colette,144.79166666666666,452.0,2065.0,2378.0,24.525,6.0,8.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,6.0,8.0,11.0,15.0,15.0,14.0,9.0,9.0,9.0,16.0,17.0,18.0,16.0,18.0,20.0,18.0,20.0,19.0,18.0,19.0,18.0,2
c0012_23099bed3753,Hog_assembly_Dona,144.79166666666666,226.0,1066.0,1351.0,13.774999999999999,3.0,13.0,17.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,3.0,13.0,17.0,20.0,20.0,18.0,8.0,5.0,10.0,17.0,16.0,15.0,12.0,15.0,15.0,9.0,15.0,15.0,10.0,15.0,17.0,2
c0012_23099bed3753,Lamb_assembly_Bertie,144.79166666666666,98.0,529.0,810.0,9.049999999999999,4.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,16.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,4.0,8.0,14.0,15.0,15.0,14.0,6.0,7.0,11.0,15.0,15.0,19.0,18.0,17.0,19.0,15.0,18.0,17.0,7.0,14.0,13.0,2
c0012_23099bed3753,Lamb_assembly_Cesar,144.79166666666666,5.0,38.0,201.0,2.591666666666667,9.0,12.0,16.0,20.0,19.0,18.0,13.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,9.0,12.0,16.0,20.0,19.0,18.0,1.0,1.0,5.0,12.0,9.0,15.0,1.0,0.0,10.0,0.0,2.0,7.0,0.0,0.0,6.0,2
c0012_23099bed3753,Moose_education_Ricardo,144.04166666666666,81.0,390.0,653.0,7.191666666666666,3.0,7.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,3.0,7.0,15.0,15.0,16.0,17.0,2.0,1.0,6.0,20.0,20.0,20.0,14.0,17.0,18.0,8.0,16.0,15.0,6.0,12.0,15.0,2
c0012_23099bed3753,Mouse_health_Estela,144.79166666666666,42.0,268.0,543.0,6.675,6.0,11.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,6.0,11.0,18.0,17.0,16.0,15.0,1.0,5.0,6.0,15.0,15.0,15.0,10.0,15.0,17.0,11.0,18.0,20.0,6.0,19.0,19.0,2
c0012_23099bed3753,Mouse_health_Justin,144.79166666666666,174.0,806.0,1100.0,13.616666666666667,4.0,8.0,16.0,18.0,19.0,20.0,17.0,20.0,19.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,4.0,8.0,15.0,18.0,19.0,20.0,7.0,9.0,9.0,20.0,19.0,18.0,15.0,16.0,15.0,11.0,15.0,15.0,11.0,15.0,15.0,2
c0013_a21278d4e492,Eagle_assembly_Benny,144.79166666666666,0.0,0.0,34.0,0.5416666666666666,7.0,9.0,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,1.0,4.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2
c0013_a21278d4e492,Eagle_assembly_Ian,144.79166666666666,5.0,24.0,89.0,1.25,6.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,1.0,0.0,4.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,4.0,1.0,0.0,9.0,0.0,2.0,9.0,2
c0013_a21278d4e492,Fox_education_Henrietta,144.79166666666666,0.0,0.0,36.0,0.5416666666666666,6.0,15.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,2
