outer_fold,candidate_id,group_id,exposure_days,clean_episodes,episodes_per_asset_day,above_workload_ceiling
1,c0000_f5146f1247fa,Hog_assembly_Dona,144.79166666666666,272.0,1.878561151079137,True
1,c0000_f5146f1247fa,Lamb_assembly_Bertie,144.75,179.0,1.2366148531951642,True
1,c0000_f5146f1247fa,Lamb_assembly_Cesar,144.75,163.0,1.1260794473229707,True
1,c0000_f5146f1247fa,Moose_education_Ricardo,140.5,94.0,0.6690391459074733,False
1,c0000_f5146f1247fa,Mouse_health_Estela,144.79166666666666,89.0,0.6146762589928058,False
1,c0000_f5146f1247fa,Mouse_health_Justin,144.79166666666666,237.0,1.636834532374101,True
1,c0012_23099bed3753,Eagle_assembly_Benny,144.79166666666666,301.0,2.0788489208633094,True
1,c0012_23099bed3753,Eagle_assembly_Ian,144.79166666666666,214.0,1.4779856115107914,True
1,c0012_23099bed3753,Fox_education_Henrietta,144.79166666666666,225.0,1.5539568345323742,True
1,c0012_23099bed3753,Hog_assembly_Colette,144.79166666666666,153.0,1.0566906474820144,True
1,c0012_23099bed3753,Hog_assembly_Dona,144.79166666666666,253.0,1.747338129496403,True
1,c0012_23099bed3753,Lamb_assembly_Bertie,144.75,51.0,0.35233160621761656,False
1,c0012_23099bed3753,Lamb_assembly_Cesar,144.75,4.0,0.027633851468048358,False
1,c0012_23099bed3753,Moose_education_Ricardo,140.5,72.0,0.5124555160142349,False
1,c0012_23099bed3753,Mouse_health_Estela,144.79166666666666,77.0,0.5317985611510792,False
1,c0012_23099bed3753,Mouse_health_Justin,144.79166666666666,210.0,1.4503597122302159,True
1,c0013_a21278d4e492,Eagle_assembly_Benny,144.79166666666666,5.0,0.034532374100719423,False
1,c0013_a21278d4e492,Eagle_assembly_Ian,144.79166666666666,3.0,0.020719424460431655,False
1,c0013_a21278d4e492,Fox_education_Henrietta,144.79166666666666,1.0,0.006906474820143885,False
1,c0013_a21278d4e492,Hog_assembly_Colette,144.79166666666666,2.0,0.01381294964028777,False
1,c0013_a21278d4e492,Hog_assembly_Dona,144.79166666666666,2.0,0.01381294964028777,False
1,c0013_a21278d4e492,Lamb_assembly_Bertie,144.75,6.0,0.04145077720207254,False
1,c0013_a21278d4e492,Lamb_assembly_Cesar,144.75,3.0,0.02072538860103627,False
1,c0013_a21278d4e492,Moose_education_Ricardo,140.5,2.0,0.014234875444839857,False
1,c0013_a21278d4e492,Mouse_health_Estela,144.79166666666666,5.0,0.034532374100719423,False
1,c0013_a21278d4e492,Mouse_health_Justin,144.79166666666666,30.0,0.20719424460431657,False
1,c0024_ba16b82adffd,Eagle_assembly_Benny,144.79166666666666,171.0,1.1810071942446043,True
1,c0024_ba16b82adffd,Eagle_assembly_Ian,144.79166666666666,160.0,1.1050359712230216,True
1,c0024_ba16b82adffd,Fox_education_Henrietta,144.79166666666666,155.0,1.0705035971223023,True
1,c0024_ba16b82adffd,Hog_assembly_Colette,144.79166666666666,137.0,0.9461870503597123,False
1,c0024_ba16b82adffd,Hog_assembly_Dona,144.79166666666666,179.0,1.2362589928057555,True
1,c0024_ba16b82adffd,Lamb_assembly_Bertie,144.75,92.0,0.6355785837651122,False
1,c0024_ba16b82adffd,Lamb_assembly_Cesar,144.75,62.0,0.4283246977547496,False
1,c0024_ba16b82adffd,Moose_education_Ricardo,140.5,134.0,0.9537366548042705,False
1,c0024_ba16b82adffd,Mouse_health_Estela,144.79166666666666,137.0,0.9461870503597123,False
1,c0024_ba16b82adffd,Mouse_health_Justin,144.79166666666666,111.0,0.7666187050359713,False
1,diagnostic_persistence_split_095_single_sample,Eagle_assembly_Benny,144.79166666666666,1.0,0.006906474820143885,False
1,diagnostic_persistence_split_095_single_sample,Eagle_assembly_Ian,144.79166666666666,226.0,1.5608633093525182,True
1,diagnostic_persistence_split_095_single_sample,Fox_education_Henrietta,144.79166666666666,0.0,0.0,False
1,diagnostic_persistence_split_095_single_sample,Hog_assembly_Colette,144.79166666666666,221.0,1.5263309352517986,True
1,diagnostic_persistence_split_095_single_sample,Hog_assembly_Dona,144.79166666666666,218.0,1.505611510791367,True
1,diagnostic_persistence_split_095_single_sample,Lamb_assembly_Bertie,144.75,17.0,0.11744386873920552,False
1,diagnostic_persistence_split_095_single_sample,Lamb_assembly_Cesar,144.75,0.0,0.0,False
1,diagnostic_persistence_split_095_single_sample,Moose_education_Ricardo,140.5,0.0,0.0,False
1,diagnostic_persistence_split_095_single_sample,Mouse_health_Estela,144.79166666666666,102.0,0.7044604316546763,False
1,diagnostic_persistence_split_095_single_sample,Mouse_health_Justin,144.79166666666666,306.0,2.1133812949640287,True
0,c0000_f5146f1247fa,Eagle_assembly_Benny,144.83333333333331,272.0,1.8780207134637517,True
0,c0000_f5146f1247fa,Eagle_assembly_Ian,144.83333333333331,233.0,1.608745684695052,True
0,c0000_f5146f1247fa,Fox_education_Henrietta,144.83333333333331,377.0,2.602991944764097,True
0,c0000_f5146f1247fa,Hog_assembly_Colette,144.83333333333331,363.0,2.506329113924051,True
0,c0000_f5146f1247fa,Hog_assembly_Dona,144.83333333333331,218.0,1.5051783659378597,True
