role,candidate_id,method,rule_id,strategy,inner_fold,macro_event_recall,observed_strata_recall,custom_synthetic_f1,event_recall_micro,ordinary_matched_event_episode_precision,background_episodes_per_asset_day,exposure_asset_days,n_events,n_detected,corrupted_episode_count,unmatched_episode_count,time_in_alert_fraction,observed_strata,detected_delay_median_minutes,detected_delay_q90_minutes,undetected_fraction,delay_restriction_minutes,restricted_mean_detection_minutes,equal_group_episode_rate,equal_group_event_recall,portfolio_calendar_days,portfolio_episodes_per_calendar_day,bound_status,valid_replicates,supported_strata,recall_lcb,recall_ucb,workload_lcb,workload_ucb,observed_rows,empirical_coverage,mpiw_kWh,winkler95_kWh,mae_kWh,rmse_kWh,nominal_level,target_units,outer_fold
outer_test,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,-1,0.8407230017173974,0.8407230017173974,0.3261045661245161,0.8371200944231336,0.2064023281193161,1.6038235632845794,1447.1666666666663,3389,2837,13745,10908,0.13981342853852358,21,60.0,240.0,0.16287990557686638,360.0,119.61050457362053,1.6034818728760123,0.836550990344558,144.79166666666666,16.029928057553956,supported,2000,21,0.7951371311512153,0.8761719287335166,1.10290921862533,2.155384083841989,34732,0.8823851203501094,88.41555905249902,155.43358122138986,17.103013381227246,35.77355633567146,0.95,kWh,2
outer_test,c0012_23099bed3753,cqr,single_sample,static,-1,0.7919432143475905,0.7919432143475905,0.39305432049678873,0.7828267925641782,0.2714066496163683,1.0323620868363472,1447.1666666666663,3389,2653,9775,7122,0.07333294944143731,21,60.0,180.0,0.2171732074358218,360.0,130.39244614930658,1.0321186207528048,0.7823008663747635,144.79166666666666,10.318273381294965,supported,2000,21,0.7148262868521381,0.8506651326228156,0.4974957785217175,1.6251010893952351,34732,0.9511113670390418,98.74751937539652,152.71000551384623,17.103013381227246,35.77355633567146,0.95,kWh,2
outer_test,c0013_a21278d4e492,cqr,180min_3of3,static,-1,0.15432179849689812,0.15432179849689812,0.22032813212041358,0.16051932723517262,0.8760064412238325,0.01243809743176322,1447.1666666666663,3389,544,621,77,0.006432108718184961,21,120.0,180.0,0.8394806727648274,360.0,326.1670109176748,0.012431654676258994,0.16055322953986323,144.79166666666666,0.12431654676258994,supported,2000,21,0.11940196064242224,0.19046433549030062,0.004146032477254405,0.022100719424460433,34732,0.9511113670390418,98.74751937539652,152.71000551384623,17.103013381227246,35.77355633567146,0.95,kWh,2
outer_test,c0024_ba16b82adffd,cqr,single_sample,rolling,-1,0.7857041908271647,0.7857041908271647,0.4505851929620232,0.7766302744172322,0.33131923464249746,1.033053092249223,1447.1666666666663,3389,2632,7944,5312,0.06277208338131983,21,60.0,180.0,0.2233697255827678,360.0,134.05724402478606,1.032981880159743,0.7765506023093943,144.79166666666666,10.325179856115108,supported,2000,21,0.7592197518505608,0.812700007995338,0.9902063087290655,1.077410071942446,34732,0.9459000345502706,109.22429177634602,143.041873251989,17.103013381227246,35.77355633567146,0.95,kWh,2
outer_test,diagnostic_persistence_split_095_single_sample,persistence_split,single_sample,static,-1,0.6430143655101589,0.6430143655101589,0.3159872431105337,0.624963115963411,0.21841806744353923,1.0600023033513766,1447.1666666666663,3389,2118,9697,7579,0.07283197051710241,21,60.0,240.0,0.37503688403658897,360.0,182.65565063440542,1.0594568334918413,0.625711577025806,144.79166666666666,10.59453237410072,supported,2000,21,0.49096209643427713,0.7802123232223283,0.39476868122371384,1.797341007194243,34732,0.9468789588851779,165.2240000000001,273.41498905908105,20.958826715996775,41.624626161573566,0.95,kWh,2
outer_test,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,-1,0.7878437884078221,0.7878437884078221,0.32539160875764256,0.7915151515151515,0.2095635430038511,1.4415933035069999,1443.5416666666663,3300,2612,12464,9852,0.1990243902439025,21,60.0,240.0,0.2084848484848485,360.0,134.14545454545456,1.4392884525562297,0.785909028049471,144.79166666666666,14.372374100719425,supported,2000,21,0.7098971518794939,0.854388485251453,1.0940512705438894,1.7790165674096474,34645,0.8220233799971136,92.43081620514971,150.1474938101219,15.71045426599353,33.74321817673863,0.95,kWh,1
outer_test,c0012_23099bed3753,cqr,single_sample,static,-1,0.8106500427095087,0.8106500427095087,0.3892835206062635,0.8118181818181818,0.2642533043992898,1.080675422138837,1443.5416666666663,3300,2679,10138,7459,0.08101024678885844,21,60.0,180.0,0.18818181818181823,360.0,123.50909090909092,1.0789399390966086,0.8103844655190147,144.79166666666666,10.774100719424462,supported,2000,21,0.7704324384750189,0.8422455948974922,0.6740957345554699,1.4568152677195305,34645,0.9444364266127868,95.83415853440886,146.82304485614404,15.71045426599353,33.74321817673863,0.95,kWh,1
outer_test,c0013_a21278d4e492,cqr,180min_3of3,static,-1,0.1687902920941325,0.1687902920941325,0.2291560487558468,0.1806060606060606,0.6906141367323291,0.04087169865781499,1443.5416666666663,3300,596,863,267,0.009738779044595183,21,120.0,180.0,0.8193939393939393,360.0,321.56363636363636,0.040792183261485516,0.18240259721550228,144.79166666666666,0.40748201438848924,supported,2000,21,0.13952356265870036,0.20069986833801334,0.0172666839333506,0.08081040635432256,34645,0.9444364266127868,95.83415853440886,146.82304485614404,15.71045426599353,33.74321817673863,0.95,kWh,1
outer_test,c0024_ba16b82adffd,cqr,single_sample,rolling,-1,0.7681600380272409,0.7681600380272409,0.46090049436638303,0.7681818181818182,0.34536784741144416,0.9268869966806179,1443.5416666666663,3300,2535,7340,4805,0.06394573531534134,21,60.0,180.0,0.2318181818181818,360.0,135.16363636363636,0.9269438497475212,0.7678643979551983,144.79166666666666,9.240863309352518,supported,2000,21,0.7340875882445083,0.7972152411363671,0.7681099668380968,1.0633435317208335,34645,0.9440900562851783,103.4589259315991,142.98893934893508,15.71045426599353,33.74321817673863,0.95,kWh,1
outer_test,diagnostic_persistence_split_095_single_sample,persistence_split,single_sample,static,-1,0.6221920369384933,0.6221920369384933,0.35787621543500797,0.6093939393939394,0.26582947785855915,0.7557800548419688,1443.5416666666663,3300,2011,7565,5554,0.0600432962909511,21,60.0,240.0,0.3906060606060606,360.0,184.87272727272727,0.7534997825573738,0.6053055181810825,144.79166666666666,7.534964028776979,supported,2000,21,0.47448652164946786,0.757125103328475,0.30666573562486577,1.2487555226496865,34645,0.9596478568335979,169.76399999999995,249.47293369894646,18.070028165680476,38.343349850105604,0.95,kWh,1
outer_test,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,-1,0.8046968784809895,0.8046968784809895,0.31723602926371697,0.8060344827586207,0.20205294435440302,1.489918887601391,1438.333333333333,3248,2618,12957,10339,0.19230590961761299,21,60.0,240.0,0.19396551724137934,360.0,134.7229064039409,1.4838819893004622,0.8025805403665963,144.83333333333334,14.796317606444187,supported,2000,21,0.7445785480781779,0.8506870345378932,0.9239860950173814,2.035512082853855,34520,0.8353418308227115,85.60363392570326,134.89293312291983,16.035504238443288,32.40473907988675,0.95,kWh,0
outer_test,c0012_23099bed3753,cqr,single_sample,static,-1,0.8210132069015802,0.8210132069015802,0.3772107069046066,0.8205049261083743,0.2527264106211475,1.149942062572422,1438.333333333333,3248,2665,10545,7880,0.07900347624565471,21,60.0,180.0,0.17949507389162567,360.0,122.40147783251231,1.1444602650560938,0.8220620747213572,144.83333333333334,11.420023014959723,supported,2000,21,0.7787675287805077,0.8577636795848605,0.6521731573379013,1.6246260069044882,34520,0.9448725376593279,91.4759796022781,134.08477218698533,16.035504238443288,32.40473907988675,0.95,kWh,0
outer_test,c0013_a21278d4e492,cqr,180min_3of3,static,-1,0.14830117876730806,0.14830117876730806,0.20621042711717946,0.16071428571428573,0.7837837837837838,0.02363847045191194,1438.333333333333,3248,522,666,144,0.00667439165701043,21,120.0,180.0,0.8392857142857143,360.0,325.1970443349754,0.023526466492466088,0.16360770414421835,144.83333333333334,0.2347525891829689,supported,2000,21,0.1200796413949624,0.18418669994769887,0.009036678591953833,0.04349827387802072,34520,0.9448725376593279,91.4759796022781,134.08477218698533,16.035504238443288,32.40473907988675,0.95,kWh,0
