metric,candidate_a,candidate_b,estimate_a,estimate_b,difference_a_minus_b,ci_lower,ci_upper,valid_replicates,requested_replicates,interval_status,original_buildings,model_seeds,bootstrap_seed
macro_event_recall,c0012_23099bed3753,c0000_f5146f1247fa,0.8076581525208805,0.8111909837311335,-0.0035328312102530512,-0.036802073698960575,0.030993363194199323,2000,2000,approximate_conditional_percentile,10,[42],20240601
background_episodes_per_asset_day,c0012_23099bed3753,c0000_f5146f1247fa,1.0875386199794028,1.511881960018095,-0.42434334003869223,-0.5745838353816716,-0.2786451672588961,2000,2000,approximate_conditional_percentile,10,[42],20240601
