role,n,maximum_prediction_difference,owner_sha256
calibration,17360,0.0,7cf0b8970f3388db2ffc8e74b4776c60631ee602f915c61285de8d5960e67cb3
test,34640,0.0,7cf0b8970f3388db2ffc8e74b4776c60631ee602f915c61285de8d5960e67cb3
