model,mae,rmse,n,negative_predictions,verified
persistence,20.987969087759815,41.67140770234165,34640,0,True
xgboost,17.892664542773126,35.09189166414792,34640,0,True
attention_lstm,19.420448377560092,36.590778714828666,34640,117,True
