horizon,level,left_method,right_method,n_seeds,coverage_difference_mean,coverage_difference_std,coverage_difference_min,coverage_difference_max,absolute_gap_difference_mean,absolute_gap_difference_std,absolute_gap_difference_min,absolute_gap_difference_max,mpiw_difference_mean,mpiw_difference_std,mpiw_difference_min,mpiw_difference_max,winkler_difference_mean,winkler_difference_std,winkler_difference_min,winkler_difference_max
1,0.9,cqr,quantile_uncalibrated,5,0.0530268863833478,0.00787160212470873,0.0425845620121422,0.0620699624168836,-0.0530268863833478,0.00787160212470872,-0.0620699624168836,-0.0425845620121422,4.37522438295503,0.119201225953729,4.25667132327861,4.51929270155625,-1.31989387554251,0.181984498066608,-1.62706152793434,-1.1882643838627
1,0.9,recentred_enbpi_updated,recentred_enbpi_static,5,0.00121422376409368,0.00257591980952168,-0.000780572419774472,0.00517490604220883,-0.000219716681121736,0.000822693989093716,-0.000780572419774472,0.0012142237640936,-16.4975993319024,1.7965037219685,-18.0433557879279,-13.9867151427721,-50.5850906025348,0.392507597109485,-51.0533686452798,-50.1515782769565
1,0.95,cqr,quantile_uncalibrated,5,0.0656952876553917,0.0011945500701961,0.0638045677941601,0.0667823070251518,-0.0653310205261635,0.00104224782489524,-0.0664353859496964,-0.0638045677941601,8.99195143196172,0.409811468834591,8.36373957955351,9.47282347004879,-2.41534744582771,0.484785789376228,-3.25497753124259,-2.0790366649814
1,0.95,recentred_enbpi_updated,recentred_enbpi_static,5,0.0034518647007806,0.00218051847553087,0.000231280716970206,0.0061289389997109,-0.0014628505348366,0.00207051551090605,-0.00413414281584268,0.000231280716970206,-28.7456450199716,3.00220957461773,-31.7900920400029,-24.8633811547601,-78.6193682851209,0.884460763452109,-79.7074727433319,-77.5396609795732
3,0.9,cqr,quantile_uncalibrated,5,0.0545070829719572,0.00230562269483409,0.0518936108701937,0.0577045388840705,-0.0545070829719572,0.00230562269483409,-0.0577045388840705,-0.0518936108701937,6.59960115213811,0.39048133321866,6.21536242219182,7.24440433653507,-2.52732786136411,0.184571601658704,-2.84334791646748,-2.36626160026117
3,0.9,recentred_enbpi_updated,recentred_enbpi_static,5,-0.000884648742411143,0.00368099355170224,-0.00511708586296622,0.00341139057531059,-0.000884648742411121,0.00368099355170227,-0.00511708586296622,0.0034113905753107,-25.2873977291046,3.72364722687633,-29.7061379798064,-20.873534063995,-76.7005126949331,0.742211059406846,-77.4181626370667,-75.8679309385219
3,0.95,cqr,quantile_uncalibrated,5,0.0828563168545823,0.00193578903278349,0.0801965886094247,0.0847932928592079,-0.0784099450708296,0.00238743784100107,-0.0821624747036716,-0.0762359063313096,16.0891445383251,1.34359274003707,14.6717134169411,18.1617057631574,-6.02771132557605,0.585528582376892,-6.64347289396503,-5.3443704504468
3,0.95,recentred_enbpi_updated,recentred_enbpi_static,5,0.00259034403006646,0.00204032330245453,8.67302688637439e-05,0.00494362532523851,0.00106967331598731,0.00125501093212774,-0.000346921075455309,0.0026019080659151,-49.312863045946,5.51076264312529,-55.9824595956205,-42.2487649829505,-121.90242713408,1.34806987950348,-123.41422396247,-120.492215701503
6,0.9,cqr,quantile_uncalibrated,5,0.0789187626481642,0.00635586199896353,0.068256721595837,0.0839549002601908,-0.0789187626481642,0.00635586199896352,-0.0839549002601908,-0.068256721595837,10.9563810722398,0.670925599739123,10.1518843022202,11.6918030947745,-3.89218690829632,0.365952614024566,-4.19271991738665,-3.31942366833692
6,0.9,recentred_enbpi_updated,recentred_enbpi_static,5,-0.00915293437409657,0.00254323358149573,-0.0105810928013877,-0.00462561433940445,-0.0072448684590922,0.0042019997281034,-0.0103498120844174,-0.00213934663197446,-32.128434744198,4.81832256246462,-36.9522159385392,-26.1965265800022,-92.8302742632825,0.887376798355453,-93.4672241598576,-91.3189882302081
6,0.95,cqr,quantile_uncalibrated,5,0.0888349233882625,0.00231780682502548,0.087308470656259,0.0928592078635443,-0.0752645273200346,0.00140958553095772,-0.0776814108123735,-0.0742411101474414,27.4552045886633,1.32936736142555,26.0825935254931,29.0203571517011,-6.41264602699342,0.652945753728629,-7.19279563741571,-5.43446678158688
6,0.95,recentred_enbpi_updated,recentred_enbpi_static,5,-0.000612893899971079,0.00206513979662482,-0.00323793003758299,0.00248626770742988,-0.000792136455623032,0.00122665343329853,-0.00248626770742988,0.000838392599017,-64.0935280725082,5.87652166681995,-70.1733626105114,-55.0373370354451,-150.783705412484,1.1123091203418,-152.381945161646,-149.680813765825
