horizon,level,method,n_seeds,coverage_mean,coverage_std,coverage_min,coverage_max,absolute_coverage_deviation_mean,absolute_coverage_deviation_std,absolute_coverage_deviation_min,absolute_coverage_deviation_max,mpiw_mean,mpiw_std,mpiw_min,mpiw_max,winkler_mean,winkler_std,winkler_min,winkler_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max
1,0.9,cqr,5,0.880069384215091,0.00786844799746261,0.869326394911824,0.889187626481642,0.0199306157849089,0.00786844799746261,0.010812373518358,0.0306736050881758,72.3397105477347,0.543701877900598,71.6464573431331,72.9654557611197,118.592450082835,1.18268543892875,117.638605415846,120.658738716557,17.2985957376506,0.046374524220588,17.2460194168647,17.3667017199421,35.7860560033371,0.0751487426012899,35.6771433390935,35.8618784353196
1,0.9,dscp,5,0.900375831165076,0.00104336990070069,0.899219427580226,0.901503324660306,0.000849956634865553,0.000601788359019803,0.000144550448106351,0.00150332466030645,82.743767753652,0.379443778703183,82.3097927905765,83.2306579152131,151.736238344129,0.503705260279751,151.022663612692,152.429200597166,17.7555603747783,0.0902687396603101,17.6652686286109,17.8994167280061,34.9777794578938,0.109922008570154,34.8131019377319,35.1074560448454
1,0.9,quantile_uncalibrated,5,0.827042497831743,0.0030369770502697,0.823619543220584,0.830586874819312,0.0729575021682568,0.0030369770502697,0.0694131251806881,0.0763804567794161,67.9644861647797,0.546216131933822,67.1608342296763,68.4461630595635,119.912343958378,1.35824748893679,118.829767973063,122.285800244491,17.2985957376506,0.046374524220588,17.2460194168647,17.3667017199421,35.7860560033371,0.0751487426012899,35.6771433390935,35.8618784353196
1,0.9,recentred_enbpi_static,5,0.901144839549003,0.00285746658930013,0.89705117085863,0.90384504191963,0.00257877999421798,0.00122098504370179,0.0006360219716681,0.00384504191962998,102.233878645427,2.18083131538761,99.6584215494792,104.898708618164,184.827297209959,1.02778137009116,183.89013674504,186.364334502262,23.1420182491125,0.138488140484259,23.0222510313096,23.3707536834056,38.5259947126227,0.173660496063054,38.3516628715625,38.779239851388
1,0.9,recentred_enbpi_updated,5,0.902359063313096,0.00059620708046488,0.901850245735762,0.903353570396068,0.00235906331309624,0.000596207080464892,0.0018502457357617,0.00335357039606821,85.7362793135241,0.717475280456301,85.1983560130384,86.9598233921075,134.242206607424,0.660383547591358,133.699118066753,135.310965856982,23.1420182491125,0.138488140484259,23.0222510313096,23.3707536834056,38.5259947126227,0.173660496063054,38.3516628715625,38.779239851388
1,0.95,cqr,5,0.950118531367447,0.000275481451276614,0.949725354148598,0.950419196299509,0.000245735761780885,0.000134050570909177,4.33651344319275e-05,0.000419196299508595,98.2927555950811,0.368762618356206,97.8401162028348,98.7215140539312,153.468390638947,0.994931759923295,152.309108947177,154.437771885935,17.2985957376506,0.046374524220588,17.2460194168647,17.3667017199421,35.7860560033371,0.0751487426012899,35.6771433390935,35.8618784353196
1,0.95,dscp,5,0.94597860653368,0.000708621622427457,0.944955189361087,0.946863255276091,0.00402139346631969,0.000708621622427467,0.00313674472390857,0.00504481063891293,115.551938638452,0.688822147287581,114.611670968369,116.290964577661,202.544348155914,0.581841359450349,201.592858703204,203.137714314645,17.7555603747783,0.0902687396603101,17.6652686286109,17.8994167280061,34.9777794578938,0.109922008570154,34.8131019377319,35.1074560448454
1,0.95,quantile_uncalibrated,5,0.884423243712056,0.00115231279910054,0.883289968198901,0.886152067071408,0.0655767562879444,0.00115231279910055,0.063847932928592,0.0667100318010986,89.3008041631194,0.488481317807163,88.5065929323629,89.8385483643956,155.883738084774,0.840687427269278,154.581335055264,156.619448563599,17.2985957376506,0.046374524220588,17.2460194168647,17.3667017199421,35.7860560033371,0.0751487426012899,35.6771433390935,35.8618784353196
1,0.95,recentred_enbpi_static,5,0.947672737785487,0.00225090623415112,0.944868459092223,0.950650477016479,0.00258745302110436,0.00186229004810925,0.000650477016478801,0.00513154090777679,146.309738867188,3.23295345642252,142.462008138021,149.609103881836,247.973251344942,1.44494767359212,246.34048224968,249.975533855098,23.1420182491125,0.138488140484259,23.0222510313096,23.3707536834056,38.5259947126227,0.173660496063054,38.3516628715625,38.779239851388
1,0.95,recentred_enbpi_updated,5,0.951124602486268,0.000417748294147191,0.950650477016479,0.951691240242845,0.00112460248626776,0.000417748294147191,0.0006504770164788,0.00169124024284484,117.564093847216,0.343247703694757,117.022371826742,117.890000629546,169.353883059821,0.58830530202487,168.800821270107,170.268061111766,23.1420182491125,0.138488140484259,23.0222510313096,23.3707536834056,38.5259947126227,0.173660496063054,38.3516628715625,38.779239851388
