horizon,level,method,channel,n_seeds,episodes_mean,episodes_std,episodes_min,episodes_max,background_episodes_per_asset_day_mean,background_episodes_per_asset_day_std,background_episodes_per_asset_day_min,background_episodes_per_asset_day_max,time_in_alert_fraction_mean,time_in_alert_fraction_std,time_in_alert_fraction_min,time_in_alert_fraction_max
1,0.9,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,cqr,combined,5,2724.4,62.3321746772884,2647,2802,1.88757505773672,0.0431862642105925,1.83394919168591,1.94133949191686,0.120144341801386,0.00784660406754389,0.111056581986143,0.130831408775982
1,0.9,cqr,numerical_only,5,2724.4,62.3321746772884,2647,2802,1.88757505773672,0.0431862642105925,1.83394919168591,1.94133949191686,0.120144341801386,0.00784660406754389,0.111056581986143,0.130831408775982
1,0.9,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,dscp,combined,5,2280.6,29.2455124762757,2240,2310,1.58237640936687,0.0202917692810239,1.5542064180399,1.60277536860364,0.0996241688349234,0.0010433699007007,0.0984966753396936,0.100780572419775
1,0.9,dscp,numerical_only,5,2280.6,29.2455124762757,2240,2310,1.58237640936687,0.0202917692810239,1.5542064180399,1.60277536860364,0.0996241688349234,0.0010433699007007,0.0984966753396936,0.100780572419775
1,0.9,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,quantile_uncalibrated,combined,5,3664.6,50.3418315121729,3608,3737,2.53898383371825,0.034878867098503,2.49976905311778,2.5891454965358,0.173135103926097,0.0030438397150637,0.169601616628176,0.176558891454965
1,0.9,quantile_uncalibrated,numerical_only,5,3664.6,50.3418315121729,3608,3737,2.53898383371825,0.034878867098503,2.49976905311778,2.5891454965358,0.173135103926097,0.0030438397150637,0.169601616628176,0.176558891454965
1,0.9,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,recentred_enbpi_static,combined,5,2264,51.7058990831801,2202,2339,1.56859122401848,0.0358239485564758,1.5256351039261,1.62055427251732,0.0988279445727483,0.00286660055711643,0.0961316397228637,0.102944572748268
1,0.9,recentred_enbpi_static,numerical_only,5,2264,51.7058990831801,2202,2339,1.56859122401848,0.0358239485564758,1.5256351039261,1.62055427251732,0.0988279445727483,0.00286660055711643,0.0961316397228637,0.102944572748268
1,0.9,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,recentred_enbpi_updated,combined,5,2280.8,23.1559927448598,2247,2305,1.58023094688222,0.0160434129872009,1.5568129330254,1.59699769053118,0.0976096997690531,0.00060740292314705,0.0965935334872979,0.0981235565819861
1,0.9,recentred_enbpi_updated,numerical_only,5,2280.8,23.1559927448598,2247,2305,1.58023094688222,0.0160434129872009,1.5568129330254,1.59699769053118,0.0976096997690531,0.00060740292314705,0.0965935334872979,0.0981235565819861
1,0.95,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.95,cqr,combined,5,1528.6,12.4619420637395,1519,1547,1.05907621247113,0.008634139997972,1.05242494226328,1.07182448036952,0.0498903002309469,0.000257721872063113,0.0495958429561201,0.0502598152424942
1,0.95,cqr,numerical_only,5,1528.6,12.4619420637395,1519,1547,1.05907621247113,0.008634139997972,1.05242494226328,1.07182448036952,0.0498903002309469,0.000257721872063113,0.0495958429561201,0.0502598152424942
1,0.95,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.95,dscp,combined,5,1408.6,14.656056768449,1387,1425,0.977346053772767,0.0101689899520895,0.962359063313096,0.988725065047702,0.0540213934663197,0.000708621622427454,0.0531367447239086,0.055044810638913
1,0.95,dscp,numerical_only,5,1408.6,14.656056768449,1387,1425,0.977346053772767,0.0101689899520895,0.962359063313096,0.988725065047702,0.0540213934663197,0.000708621622427454,0.0531367447239086,0.055044810638913
1,0.95,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.95,quantile_uncalibrated,combined,5,2338,22.5277606521376,2324,2377,1.61986143187067,0.0156081482578321,1.61016166281755,1.64688221709007,0.115814087759815,0.00114247242458485,0.114087759815242,0.116945727482679
1,0.95,quantile_uncalibrated,numerical_only,5,2338,22.5277606521376,2324,2377,1.61986143187067,0.0156081482578321,1.61016166281755,1.64688221709007,0.115814087759815,0.00114247242458485,0.114087759815242,0.116945727482679
1,0.95,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.95,recentred_enbpi_static,combined,5,1362,51.3419906119737,1296,1429,0.94364896073903,0.0355718179759634,0.897921478060046,0.990069284064665,0.0523036951501155,0.00225722150209855,0.0493071593533487,0.0551096997690531
1,0.95,recentred_enbpi_static,numerical_only,5,1362,51.3419906119737,1296,1429,0.94364896073903,0.0355718179759634,0.897921478060046,0.990069284064665,0.0523036951501155,0.00225722150209855,0.0493071593533487,0.0551096997690531
1,0.95,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0.95,recentred_enbpi_updated,combined,5,1310.2,17.4842786525496,1285,1326,0.907759815242494,0.0121138189278634,0.890300230946882,0.918706697459584,0.0488394919168591,0.000412524726972199,0.0482678983833718,0.0493071593533487
1,0.95,recentred_enbpi_updated,numerical_only,5,1310.2,17.4842786525496,1285,1326,0.907759815242494,0.0121138189278634,0.890300230946882,0.918706697459584,0.0488394919168591,0.000412524726972199,0.0482678983833718,0.0493071593533487
3,0.9,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.9,cqr,combined,5,1890.8,43.8371988156178,1835,1942,1.31002309468822,0.0303721931747929,1.27136258660508,1.34549653579677,0.131887990762125,0.00240428557536235,0.129012702078522,0.135161662817552
3,0.9,cqr,numerical_only,5,1890.8,43.8371988156178,1835,1942,1.31002309468822,0.0303721931747929,1.27136258660508,1.34549653579677,0.131887990762125,0.00240428557536235,0.129012702078522,0.135161662817552
3,0.9,dscp,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.9,dscp,combined,5,1621.6,16.9499262535269,1594,1636,1.12513443191674,0.0117605732895243,1.1059843885516,1.13512575888985,0.105874530211044,0.00233209649115271,0.104018502457358,0.10904885805146
3,0.9,dscp,numerical_only,5,1621.6,16.9499262535269,1594,1636,1.12513443191674,0.0117605732895243,1.1059843885516,1.13512575888985,0.105874530211044,0.00233209649115271,0.104018502457358,0.10904885805146
3,0.9,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.9,quantile_uncalibrated,combined,5,2715.4,40.1534556420739,2655,2768,1.88133949191686,0.0278199461723376,1.83949191685912,1.91778290993072,0.186397228637413,0.00203018680683091,0.183487297921478,0.189030023094688
3,0.9,quantile_uncalibrated,numerical_only,5,2715.4,40.1534556420739,2655,2768,1.88133949191686,0.0278199461723376,1.83949191685912,1.91778290993072,0.186397228637413,0.00203018680683091,0.183487297921478,0.189030023094688
3,0.9,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.9,recentred_enbpi_static,combined,5,1407.8,39.4550377011605,1373,1457,0.975381062355658,0.0273360538345223,0.951270207852194,1.0094688221709,0.0926270207852194,0.00304883234406467,0.089838337182448,0.0967090069284065
3,0.9,recentred_enbpi_static,numerical_only,5,1407.8,39.4550377011605,1373,1457,0.975381062355658,0.0273360538345223,0.951270207852194,1.0094688221709,0.0926270207852194,0.00304883234406467,0.089838337182448,0.0967090069284065
3,0.9,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
3,0.9,recentred_enbpi_updated,combined,5,1478,5.8309518948453,1470,1486,1.02401847575058,0.00403992048141709,1.01847575057737,1.02956120092379,0.0934930715935335,0.00138817495982201,0.0913972286374134,0.0949480369515012
3,0.9,recentred_enbpi_updated,numerical_only,5,1478,5.8309518948453,1470,1486,1.02401847575058,0.00403992048141709,1.01847575057737,1.02956120092379,0.0934930715935335,0.00138817495982201,0.0913972286374134,0.0949480369515012
3,0.95,cqr,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
