left,right,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
fit,calibration,29715,9906,2021-01-07 23:30:00,2021-08-02 07:50:00,2021-08-02 08:20:00,2021-08-02 08:40:00,2021-10-10 03:30:00,2021-08-02 09:10:00,2021-10-10 04:00:00,0,0,,0,15ffb953aff9e91e8a00af7478b500c69c35709363a2965be60fccf96bf297f6,c63b5f51a36f297c5d6574bffa55167d7725cbb35f8d735f8451a5f8ed9fc672
calibration,test,9906,9909,2021-08-02 08:40:00,2021-10-10 03:30:00,2021-10-10 04:00:00,2021-10-10 04:10:00,2021-12-17 23:30:00,2021-10-10 04:40:00,2021-12-18 00:00:00,0,0,,0,c63b5f51a36f297c5d6574bffa55167d7725cbb35f8d735f8451a5f8ed9fc672,ae5506e6b646c1fa25ed2290b0ef64c2f71b595bb6b134f88e76887f8fbc41af
inner0_train,inner0_validation,9902,9902,2021-01-07 23:30:00,2021-03-17 17:40:00,2021-03-17 18:10:00,2021-03-17 18:20:00,2021-05-25 12:30:00,2021-03-17 18:50:00,2021-05-25 13:00:00,0,0,,0,6a804f50ec8a62f22855506db0669da4c1d0582db3d9e9d0f9a21488aef320ce,9ea284fb597d8925be6c42e2554cec354e2f8c6e3bf59cf289f082f674d08e29
inner1_train,inner1_validation,19804,9905,2021-01-07 23:30:00,2021-05-25 12:30:00,2021-05-25 13:00:00,2021-05-25 13:10:00,2021-08-02 07:50:00,2021-05-25 13:40:00,2021-08-02 08:20:00,0,0,,0,bf7974a656e8ed9dbb0a4d2411e268bdbdb2cf36eccabbd85f3a2a9c0d6b5b50,1d4067617dd13ad0100b945f6e15ae16257c3fc7c63c97d3f7e66372129b288d
