dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Fox_education_Henrietta,0.95,"within original group, sample weighted",3475,1.750756834532374,2.8583145106385017,1.0,344.1999999999999,344.1999999999999,0,3475
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Hog_assembly_Colette,0.95,"within original group, sample weighted",3475,72.80888719424462,104.04092064400471,0.9148201438848921,344.1999999999999,623.7161093525177,0,358
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Hog_assembly_Dona,0.95,"within original group, sample weighted",3475,63.61992,85.4774476041269,0.937841726618705,344.1999999999999,432.30754532374084,0,379
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Lamb_assembly_Bertie,0.95,"within original group, sample weighted",3475,30.56562578417266,50.83449026687657,0.9873381294964029,344.1999999999999,354.0931499280574,0,2933
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Lamb_assembly_Cesar,0.95,"within original group, sample weighted",3475,4.058973035971223,8.00030793680167,1.0,344.1999999999999,344.1999999999999,0,3475
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Moose_education_Ricardo,0.95,"within original group, sample weighted",3365,21.118584338781577,34.57223883585331,1.0,344.1999999999999,344.1999999999999,0,0
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Mouse_health_Estela,0.95,"within original group, sample weighted",3475,48.28118313669064,77.01942815514609,0.9398561151079137,344.1999999999999,431.8097841726617,0,4
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,persistence,Mouse_health_Justin,0.95,"within original group, sample weighted",3475,73.84582589928057,106.075761451845,0.8894964028776978,344.1999999999999,600.4457933812947,0,16
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,Eagle_assembly_Benny,0.9,"within original group, sample weighted",3475,9.260162370164384,12.521686076890887,1.0,146.7899169921875,146.7899169921875,5,3081
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,Eagle_assembly_Ian,0.9,"within original group, sample weighted",3475,81.77006457651262,119.91679997494226,0.620431654676259,146.7899169921875,830.7787829062921,0,0
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,Fox_education_Henrietta,0.9,"within original group, sample weighted",3475,2.9433201720258313,3.848682953701964,1.0,146.7899169921875,146.7899169921875,0,3475
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,Hog_assembly_Colette,0.9,"within original group, sample weighted",3475,53.247140348523914,74.335604609768,0.7620143884892087,146.7899169921875,401.59983484887874,0,2
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,True,xgboost,Hog_assembly_Dona,0.9,"within original group, sample weighted",3475,37.41730493868381,48.53138629052268,0.8702158273381295,146.7899169921875,210.772506830317,0,0
