dataset,horizon,outer_fold,model_seed,model,evidence_status,estimator_class,mae,rmse,n_fit,n_calibration,n_evaluation,selected_candidate,final_epochs,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,process_cpu_seconds,learned_tuning_fits,learned_final_fits,negative_predictions,status
pleia,1,0,44,persistence,matched_forecasting005,src.pilot_forecasters.Persistence,0.20377510850913494,0.3274649132433441,29719,9907,9907,0,,0.0,0.0002565000031609088,0.003091799997491762,0.0030095000111032277,256,3291908.942830764,386826240,386924544,344977408,0.015625,0,0,0,complete
pleia,1,0,44,xgboost,matched_forecasting005,xgboost.sklearn.XGBRegressor,0.27069284279868455,0.3766630884828888,29719,9907,9907,0,,3.058090800011996,0.8938880999921821,0.0712022999941837,0.07612489999155514,256,130141.38607865528,393314304,516034560,541290496,4.046875,4,1,0,complete
pleia,1,0,44,attention_lstm,matched_forecasting005,src.attention_lstm.AttentionLSTM,0.30694742376994233,0.43825023611929226,29719,9907,9907,0,29.0,214.65634130002582,87.68669609999051,0.29297340000630356,0.29815810002037324,256,33227.33811130086,504762368,629350400,667824128,297.625,4,1,0,complete
