dataset,horizon,outer_fold,model_seed,model,evidence_status,estimator_class,mae,rmse,n_fit,n_calibration,n_evaluation,selected_candidate,final_epochs,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,process_cpu_seconds,learned_tuning_fits,learned_final_fits,negative_predictions,status
pleia_energy,6,1,46,persistence,matched_forecasting005,src.pilot_forecasters.Persistence,0.259079754214192,4.6431333993305035,22280,7428,9907,0,,0.0,0.0002786999975796789,0.002470699982950464,0.0026095000212080777,256,3796512.711049344,385748992,385847296,341045248,0.0,0,0,0,complete
pleia_energy,6,1,46,xgboost,matched_forecasting005,xgboost.sklearn.XGBRegressor,0.21506760680851186,3.2908635037566922,22280,7428,9907,0,,3.0172347000043374,0.656370299984701,0.04839630000060424,0.06235500000184402,256,158880.602994259,386428928,506703872,530354176,3.203125,4,1,0,complete
pleia_energy,6,1,46,attention_lstm,matched_forecasting005,src.attention_lstm.AttentionLSTM,0.2274086916736677,3.2932565956937867,22280,7428,9907,0,4.0,52.783603500021854,8.896114900009707,0.21576900000218302,0.25310470000840724,256,39141.90451489413,500719616,620109824,662085632,61.40625,4,1,0,complete
