role,n,maximum_prediction_difference,owner_sha256
calibration,4953,0.0,79889fe834d667bc5cdc6e81fe89d59c7e9fbfd8ed6c1b30f455a927ea52db20
test,9907,0.0,79889fe834d667bc5cdc6e81fe89d59c7e9fbfd8ed6c1b30f455a927ea52db20
