dataset,seed,outer_fold,group_id,empirical_coverage,n
pleia_energy,42,0,,0.8510445049954587,9909
pleia_energy,42,1,,0.9627536085596043,9907
pleia_energy,42,2,,0.5303320884223276,9907
pleia_energy,43,0,,0.8902008275305278,9909
pleia_energy,43,1,,0.9729484203088725,9907
pleia_energy,43,2,,0.48601998586857775,9907
pleia_energy,44,0,,0.8510445049954587,9909
pleia_energy,44,1,,0.9461996568083173,9907
pleia_energy,44,2,,0.48601998586857775,9907
pleia_energy,45,0,,0.8510445049954587,9909
pleia_energy,45,1,,0.7578479862723327,9907
pleia_energy,45,2,,0.8540425961441405,9907
pleia_energy,46,0,,0.8510445049954587,9909
pleia_energy,46,1,,0.9729484203088725,9907
pleia_energy,46,2,,0.5303320884223276,9907
