event_id,event_type,severity,group_id,detected,detection_delay_steps,detection_delay_min,dataset,seed,outer_fold
24,stuck,0.5sd,,True,3.0,30.0,pleia_energy,46,2
25,bias,0.5sd,,True,0.0,0.0,pleia_energy,46,2
26,stuck,0.5sd,,True,10.0,100.0,pleia_energy,46,2
27,level_shift,0.5sd,,True,4.0,40.0,pleia_energy,46,2
28,drift,0.5sd,,True,2.0,20.0,pleia_energy,46,2
29,drift,1.0sd,,True,5.0,50.0,pleia_energy,46,2
30,drift,2.0sd,,True,9.0,90.0,pleia_energy,46,2
31,drift,0.5sd,,False,,,pleia_energy,46,2
32,stuck,1.0sd,,True,7.0,70.0,pleia_energy,46,2
33,bias,1.0sd,,False,,,pleia_energy,46,2
