ablation,applicable,dataset,seed,outer_fold,interval_method,recalibration,rule,macro_recall,background_episodes_per_asset_day,operational_feasible
baseline,True,pleia_energy,42,0,quantile_uncalibrated,static,single,0.9166666666666665,13.151680290644869,False
conformal_only,True,pleia_energy,42,0,cqr,static,single,0.7916666666666666,5.333333333333333,False
temporal,True,pleia_energy,42,0,cqr,static,single,0.7916666666666666,5.333333333333333,False
full,True,pleia_energy,42,0,quantile_uncalibrated,static,single,0.9166666666666665,13.151680290644869,False
baseline,True,pleia_energy,42,1,quantile_uncalibrated,static,single,0.763888888888889,14.20086807307964,False
conformal_only,True,pleia_energy,42,1,cqr,static,single,0.5555555555555555,3.5320480468355706,False
temporal,True,pleia_energy,42,1,cqr,static,single,0.5555555555555555,3.5320480468355706,False
full,True,pleia_energy,42,1,recentred_enbpi_static,periodic,single,0.611111111111111,4.215201372766731,False
baseline,True,pleia_energy,42,2,quantile_uncalibrated,static,single,0.8194444444444443,18.6050267487635,False
conformal_only,True,pleia_energy,42,2,cqr,static,single,0.861111111111111,10.87231250630867,False
temporal,True,pleia_energy,42,2,cqr,static,single,0.861111111111111,10.87231250630867,False
full,True,pleia_energy,42,2,recentred_enbpi_static,periodic,single,0.8333333333333334,16.17765216513576,False
baseline,True,pleia_energy,43,0,quantile_uncalibrated,static,single,0.7638888888888888,8.762942779291553,False
conformal_only,True,pleia_energy,43,0,cqr,static,single,0.7222222222222222,2.2670299727520438,False
temporal,True,pleia_energy,43,0,cqr,static,single,0.7222222222222222,2.2670299727520438,False
full,True,pleia_energy,43,0,quantile_uncalibrated,static,single,0.7638888888888888,8.762942779291553,False
baseline,True,pleia_energy,43,1,quantile_uncalibrated,static,single,0.8333333333333334,14.50610679317654,False
conformal_only,True,pleia_energy,43,1,cqr,static,single,0.5555555555555556,3.6483294640153425,False
temporal,True,pleia_energy,43,1,cqr,static,single,0.5555555555555556,3.6483294640153425,False
full,True,pleia_energy,43,1,cqr,static,single,0.5555555555555556,3.6483294640153425,False
baseline,True,pleia_energy,43,2,quantile_uncalibrated,static,single,0.7222222222222222,13.750277581508024,False
conformal_only,True,pleia_energy,43,2,cqr,static,single,0.8888888888888888,13.939234884425153,False
temporal,True,pleia_energy,43,2,cqr,static,single,0.8888888888888888,13.939234884425153,False
full,True,pleia_energy,43,2,cqr,periodic,single,0.6666666666666666,13.445038861411122,False
baseline,True,pleia_energy,44,0,quantile_uncalibrated,static,single,0.8055555555555555,13.151680290644869,False
conformal_only,True,pleia_energy,44,0,cqr,static,single,0.75,5.304268846503179,False
temporal,True,pleia_energy,44,0,cqr,static,single,0.75,5.304268846503179,False
full,True,pleia_energy,44,0,quantile_uncalibrated,static,single,0.8055555555555555,13.151680290644869,False
baseline,True,pleia_energy,44,1,quantile_uncalibrated,static,single,0.9305555555555555,20.189361057837893,False
conformal_only,True,pleia_energy,44,1,cqr,static,single,0.7916666666666666,6.816998082164126,False
temporal,True,pleia_energy,44,1,cqr,static,single,0.7916666666666666,6.816998082164126,False
full,True,pleia_energy,44,1,cqr,static,single,0.7916666666666666,6.816998082164126,False
baseline,True,pleia_energy,44,2,quantile_uncalibrated,static,single,0.736111111111111,13.99737559301504,False
conformal_only,True,pleia_energy,44,2,cqr,static,single,0.9305555555555555,13.982840415867567,False
temporal,True,pleia_energy,44,2,cqr,static,single,0.9305555555555555,13.982840415867567,False
full,True,pleia_energy,44,2,cqr,periodic,single,0.763888888888889,13.328757444231352,False
baseline,True,pleia_energy,45,0,quantile_uncalibrated,static,single,0.7777777777777777,13.209809264305177,False
conformal_only,True,pleia_energy,45,0,cqr,static,single,0.7222222222222222,5.376930063578565,False
temporal,True,pleia_energy,45,0,cqr,static,single,0.7222222222222222,5.376930063578565,False
full,True,pleia_energy,45,0,quantile_uncalibrated,static,single,0.7777777777777777,13.209809264305177,False
baseline,True,pleia_energy,45,1,quantile_uncalibrated,static,single,0.8472222222222222,20.37831836075502,False
conformal_only,True,pleia_energy,45,1,cqr,static,single,0.8055555555555555,6.9332794993438975,False
temporal,True,pleia_energy,45,1,cqr,static,single,0.8055555555555555,6.9332794993438975,False
full,True,pleia_energy,45,1,quantile_uncalibrated,static,single,0.8472222222222222,20.37831836075502,False
baseline,True,pleia_energy,45,2,quantile_uncalibrated,static,single,0.8333333333333331,13.735742404360552,False
conformal_only,True,pleia_energy,45,2,cqr,static,single,0.8749999999999999,13.779347935802967,False
temporal,True,pleia_energy,45,2,cqr,static,single,0.8749999999999999,13.779347935802967,False
