dataset,horizon,seed,outer_fold,config_hash,point_model,interval_method,operating_level,recalibration,rule,empirical_coverage,macro_recall,background_episodes_per_asset_day,n_detected,n_events,events_placed,operational_feasible
pleia_energy,1,42,0,10c53ea37e96607992798241416794daa72935a44054ed4cfb81ba00425e4a33,xgboost,quantile_uncalibrated,0.95,static,single,0.8510445049954587,0.9166666666666665,13.151680290644869,31,34,34,False
pleia_energy,1,42,1,fb9cf10b7246df8d95832cc1a4fafe9297798364941e31ceb9465d77b37689c1,xgboost,recentred_enbpi_static,0.975,periodic,single,0.9627536085596043,0.611111111111111,4.215201372766731,22,34,34,False
pleia_energy,1,42,2,399a804c5f9e6254ef7c23280ac39fa22b8f6111a1233425b1d566347d2f34b3,persistence,recentred_enbpi_static,0.975,periodic,single,0.5303320884223276,0.8333333333333334,16.17765216513576,28,34,34,False
pleia_energy,1,43,0,0da11cf39175c4c2539eb429f0cdbe30f59655a47744b7c07ed8b366b111e752,xgboost,quantile_uncalibrated,0.975,static,single,0.8902008275305278,0.7638888888888888,8.762942779291553,27,34,34,False
pleia_energy,1,43,1,2fd5daac1b54648e81c66dd07aea64cf09f47fb237f01f34928a6280cee0225a,xgboost,cqr,0.975,static,single,0.9729484203088725,0.5555555555555556,3.6483294640153425,20,34,34,False
pleia_energy,1,43,2,273f48fe4606dd7b6e113b31a6a033100d742471aa926778e3e245c6b205e12c,persistence,cqr,0.95,periodic,single,0.48601998586857775,0.6666666666666666,13.445038861411122,23,34,34,False
pleia_energy,1,44,0,371752275f68a9ee3cdff716572df153e569787362cec2395ea19c149bfb93bb,xgboost,quantile_uncalibrated,0.95,static,single,0.8510445049954587,0.8055555555555555,13.151680290644869,28,34,34,False
pleia_energy,1,44,1,9ce3d7efd2491b00783e0891fe389c2a7200552af9cea49a919ffecddd8e59ac,xgboost,cqr,0.95,static,single,0.9461996568083173,0.7916666666666666,6.816998082164126,28,34,34,False
pleia_energy,1,44,2,577b43d6f8e75133888ab80182c024ab5a4e91697fe66cd4cb9dce31e13c405a,persistence,cqr,0.95,periodic,single,0.48601998586857775,0.763888888888889,13.328757444231352,26,34,34,False
pleia_energy,1,45,0,564fa8d089808f3bdc96c2021e67335eb9ea61b75ae81a1d098877fc36b304e7,xgboost,quantile_uncalibrated,0.95,static,single,0.8510445049954587,0.7777777777777777,13.209809264305177,28,34,34,False
pleia_energy,1,45,1,55de2f6b0e901b979df81400768876e6c97dddefea3962c73ee296d602c1f026,xgboost,quantile_uncalibrated,0.95,static,single,0.7578479862723327,0.8472222222222222,20.37831836075502,30,34,34,False
pleia_energy,1,45,2,b5723af741519bfeeb281800e1a6bcf3347c91363fd8548915845cc61d1571cc,persistence,cqr,0.95,static,single,0.8540425961441405,0.8749999999999999,13.779347935802967,30,34,34,False
pleia_energy,1,46,0,1cd2a7993be8b7b8d69981df530ded8fe3be6eb564a5077ba9e8b468edde1bfb,xgboost,quantile_uncalibrated,0.95,static,k3_w30,0.8510445049954587,0.6388888888888888,0.31970935513169846,23,34,34,True
pleia_energy,1,46,1,6c285c06bdd67900a5056d4ca9191ee294ea052a4b31b32e3dc2e2884f9545d1,xgboost,cqr,0.975,static,k3_w30,0.9729484203088725,0.2222222222222222,0.0,8,34,34,True
pleia_energy,1,46,2,7f84e60df62db986fcc7ab2f55e882ed7d5b24563a4ab5cf84ed03f0e88b3e28,persistence,recentred_enbpi_static,0.975,periodic,single,0.5303320884223276,0.8194444444444443,16.235792873725647,28,34,34,False
