role,n,maximum_prediction_difference,owner_sha256
calibration,17370,0.0,389356846719c3357ab6d24483c635426563ed5367b2d2866232c38fcbb735a5
test,34640,0.0,389356846719c3357ab6d24483c635426563ed5367b2d2866232c38fcbb735a5
