role,n,maximum_prediction_difference,owner_sha256
calibration,17350,0.0,089bc4815e23a2ef95813ac3aeb0cc915c06b51f5c09fff7bd5904128c17e7fb
test,34640,0.0,089bc4815e23a2ef95813ac3aeb0cc915c06b51f5c09fff7bd5904128c17e7fb
