role,n,maximum_prediction_difference,owner_sha256
calibration,4951,0.0,5c91d53c0f4146fbfa1acd1168fc86ebcdc78513d76b8d904f852b3a2e28b85c
test,9907,0.0,5c91d53c0f4146fbfa1acd1168fc86ebcdc78513d76b8d904f852b3a2e28b85c
