dataset,horizon,physical_minutes,target_units,seeds,mae_difference_mean,mae_difference_min,mae_difference_max,lstm_lower_mae_seeds,winkler95_difference_mean,lstm_lower_winkler95_seeds,lstm_coverage95_mean,xgboost_coverage95_mean,mpiw95_difference_mean,cpu_ratio_mean,cpu_ratio_min,cpu_ratio_max
bdg2,1,60,kWh per hour,4,1.569620841613017,1.4365327045686485,1.8601831734172691,0,7.9826803008478535,0,0.9491844688221709,0.948599884526559,4.988462707519602,91.43907419608153,66.81324278438031,143.8626817447496
bdg2,3,180,kWh per hour,4,5.636447639445469,4.777519963262666,6.966104487696871,0,80.54203865072942,0,0.9497762702078522,0.9492133371824482,32.07762231445326,51.57272465087722,40.09225092250922,62.72509225092251
bdg2,6,360,kWh per hour,4,6.810320459735301,5.804421342929096,8.081928522989095,0,65.87214570188807,0,0.9513856812933026,0.949364896073903,33.76458099365244,34.824672257209016,27.913513513513514,43.098958333333336
pleia,1,10,degrees C,4,1.0157283952573817,0.7694822031276982,1.3786157717194105,0,10.094643413593388,0,0.2859089532653679,0.33327445240738873,1.7514028549194318,55.37646735563796,52.788,57.30869565217391
pleia,3,30,degrees C,4,0.23831272591155495,0.1870381013456881,0.2734118432633821,0,-0.6287777776420924,3,0.2802563843746846,0.30763601493893206,0.5607204437255864,45.79429819024887,42.028688524590166,49.6875
pleia,6,60,degrees C,4,0.25439502474060105,0.12636250501397672,0.49521819415313484,0,-3.4650191044366903,3,0.27094478651458564,0.3164176844655294,0.6407840728759766,27.644912535506677,26.584415584415584,28.951965065502183
pleia_energy,1,10,kWh per 10 minutes,4,-0.0024322532314780473,-0.022438580082471682,0.014458667011985116,2,0.988027414067657,0,0.6041940042394267,0.7824770364388817,-0.24045974016189575,26.097052966116177,24.60593220338983,27.325581395348838
pleia_energy,3,30,kWh per 10 minutes,4,0.025923344423497887,0.008055993173908024,0.03779190453281735,0,0.4990071121716432,0,0.6456041183001917,0.7481326334914707,-0.056016162037849426,19.610064632225757,18.694690265486727,20.637554585152838
pleia_energy,6,60,kWh per 10 minutes,4,0.02590338781286504,0.01936783698695127,0.02902428210052385,0,0.09702104641111642,1,0.6579691127485616,0.7059654789542746,0.029136180877685547,17.197479460058315,15.919831223628693,19.897872340425533
rico,5,5,degrees C,4,2.3238701550136556,1.9795653190911227,2.5469573738933766,0,68.32076626350619,0,0.13259318913943857,0.6755924988495168,1.1903236389160146,21.676298935202606,13.716049382716049,27.71225071225071
rico,15,15,degrees C,4,2.345187989273845,1.9581527650082808,2.499141985642913,0,72.80829837649836,0,0.12931659019560493,0.7832950978024633,0.5385694503784162,20.420951605009297,13.093167701863354,30.063432835820894
rico,30,30,degrees C,4,2.2234841018483715,1.9505977222128674,2.4912426163541674,0,74.92256283872635,0,0.11096256684491979,0.8234315899308726,-0.4568649291992184,21.869061289466213,12.781569965870307,28.731448763250885
rico,60,60,degrees C,4,1.614726509973094,1.2280265662320857,1.9221308654410618,0,61.25099007939999,0,0.18230542178033246,0.8596395836569831,-2.2773509979248026,14.768928371778275,13.004166666666666,17.09051724137931
