dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,loss,horizon,mean_loss_a,mean_loss_b,dm_statistic,p_value,mean_loss_differential,better_model,p_value_holm,significant_holm_5pct
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,xgboost,persistence,9282,absolute,5,0.09326326480792321,0.12217194570135746,-7.38466182262372,1.6601869851369481e-13,-0.028908680893434263,a,1.6601869851369481e-13,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,attention_lstm,persistence,9072,absolute,5,0.44428280442690304,0.11600529100529099,39.660955028190514,0.0,0.328277513421612,b,0.0,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,xgboost,attention_lstm,9072,absolute,5,0.09264726870064167,0.44428280442690304,-46.35072859054918,0.0,-0.35163553572626133,a,0.0,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,xgboost,persistence,8862,absolute,15,0.21983323842993277,0.3495373504852178,-7.051471092765789,1.9030385683884887e-12,-0.129704112055285,a,1.9030385683884887e-12,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,attention_lstm,persistence,8652,absolute,15,0.5194297548691763,0.33055940822931107,7.65442872261591,2.1504747454292854e-14,0.18887034663986513,b,4.300949490858571e-14,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,xgboost,attention_lstm,8652,absolute,15,0.21785903931545866,0.5194297548691763,-14.96367552394621,5.337263818694772e-50,-0.3015707155537175,a,1.6011791456084317e-49,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,xgboost,persistence,8232,absolute,30,0.3532899824592879,0.6581389698736638,-6.874915302916197,6.655271600214084e-12,-0.3048489874143758,a,1.3310543200428168e-11,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,attention_lstm,persistence,8022,absolute,30,0.7510530098748903,0.6211917227624035,2.4484449988180614,0.014368698398794899,0.12986128711248687,b,0.014368698398794899,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,xgboost,attention_lstm,8022,absolute,30,0.3480197321117384,0.7510530098748903,-10.653762584450858,2.5101401991832624e-26,-0.40303327776315173,a,7.530420597549787e-26,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,xgboost,persistence,6972,absolute,60,0.61628408440214,1.2028686173264487,-5.985106143293407,2.269715051716621e-09,-0.5865845329243086,a,6.8091451551498634e-09,True
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,attention_lstm,persistence,6762,absolute,60,0.9238169242206742,1.1391748003549247,-1.925420804420502,0.05421863005249547,-0.21535787613425014,a,0.05421863005249547,False
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,xgboost,attention_lstm,6762,absolute,60,0.6070444820971574,0.9238169242206742,-4.178007737329678,2.9777613644535704e-05,-0.31677244212351696,a,5.955522728907141e-05,True
