dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,mode,scenario,kind,severity,severity_label,alert_rule,seed,n_test,mae_vs_clean_truth,rmse_vs_clean_truth,empirical_coverage_vs_clean_truth,coverage_deviation_vs_clean_truth,mae,rmse,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,alert_rate,n_alert_clusters,false_alert_events_per_day,n_violation_steps,n_rows_rebuilt,n_contaminated
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,clean,none,0.0,none,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,1.444494585284008,1.0857162345862266,4.968101989733042,9282,0.2209653092006033,81.0,12.566257272139625,2037.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,clean,none,0.0,none,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,1.444494585284008,1.0857162345862266,4.968101989733042,9282,0.2209653092006033,81.0,12.566257272139625,2037.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,random_missing_5pct,random_missing,0.05,5%,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11127115374146898,0.1516933437102821,0.7807348346083396,0.16926516539166037,1.444494585284008,1.0857162345862266,4.96836887649454,9281,0.2207498383968972,80.0,12.411118293471233,2035.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,random_missing_5pct,random_missing,0.05,5%,2-of-3,42,9241.0,0.11142955389876866,0.15186994780801466,0.780326804458392,0.16967319554160798,0.11141503196483755,0.1517983505109276,0.7802185910615734,0.16978140893842653,1.4443750231900265,1.0825057678114334,4.970935821877845,9241,0.22097175630343036,82.0,12.777837896331565,2031.0,9241.0,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,random_missing_10pct,random_missing,0.1,10%,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11096186207932703,0.15134122405146355,0.7807348346083396,0.16926516539166037,1.444494585284008,1.0857162345862266,4.965405540668523,9281,0.22031889678948502,83.0,12.876535229476405,2035.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,random_missing_10pct,random_missing,0.1,10%,2-of-3,42,9241.0,0.11124825866985791,0.15169441865298938,0.7811925116329401,0.16880748836705983,0.11104716600799795,0.15151885782881067,0.7810842982361216,0.16891570176387838,1.445825435320509,1.0920533325191109,4.976103063283679,9241,0.219456768747971,82.0,12.777837896331565,2023.0,9241.0,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,random_missing_20pct,random_missing,0.2,20%,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.1107290417243211,0.15105351250091867,0.7812938762285344,0.16870612377146554,1.444494585284008,1.0857162345862266,4.965984438862542,9259,0.2189183365653954,81.0,12.566257272139625,2025.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,random_missing_20pct,random_missing,0.2,20%,2-of-3,42,9030.0,0.11168484452462668,0.15218216654325195,0.7808416389811739,0.1691583610188261,0.11146456215081815,0.1518005645210738,0.781063122923588,0.16893687707641192,1.4487458220472793,1.0919923471195405,4.984407553743998,9030,0.21904761904761905,83.0,13.235880398671098,1977.0,9030.0,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,block_missing_5pct,block_missing,0.05,5%,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11172133219658072,0.15241427795801077,0.7828316610925307,0.1671683389074693,1.444494585284008,1.0857162345862266,4.932082749945917,8970,0.21137685843568196,88.0,13.652230122818358,1948.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,block_missing_5pct,block_missing,0.05,5%,2-of-3,42,8358.0,0.10344760003941836,0.14065877695616574,0.7747068676716918,0.17529313232830812,0.1034146064679944,0.14066291242641718,0.7748265135199809,0.17517348648001907,1.4292121666304165,1.0497439156424857,5.1428085308128475,8358,0.22553242402488632,69.0,11.888011486001437,1882.0,8358.0,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,block_missing_10pct,block_missing,0.1,10%,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,0.11217656524466076,0.15300822626314692,0.7842797783933518,0.16572022160664812,1.444494585284008,1.0857162345862266,4.900895190447145,8664,0.202650290885585,97.0,15.048480930833872,1869.0,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,closed_loop,block_missing_10pct,block_missing,0.1,10%,2-of-3,42,7434.0,0.10496882325924624,0.14353973281015306,0.7730696798493408,0.17693032015065913,0.10500941913683969,0.14356629384125347,0.7732041969330105,0.1767958030669895,1.4374931049196342,1.0585257940399604,5.231023122749415,7434,0.22773742265267688,63.0,12.203389830508476,1686.0,7434.0,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,cqr,0.95,legacy_fixed_intervals,bias_0.5sd,bias,0.5,0.5 sigma,2-of-3,42,9282.0,0.11125999410525886,0.1516365220845113,0.7805429864253394,0.1694570135746606,2.8576168765711936,2.8615525029742748,0.04945054945054945,0.9005494505494505,1.444494585284008,1.0857162345862266,76.739980214023,9282,0.9509803921568627,25.0,3.8784744667097604,8823.0,,
