role,n,maximum_prediction_difference,owner_sha256
calibration,17370,0.0,d4cd5617fc636ed51910f28b94cd1191e846872a960c98b7b6734656325ede15
test,34640,0.0,d4cd5617fc636ed51910f28b94cd1191e846872a960c98b7b6734656325ede15
