model,mae,rmse,n,negative_predictions,verified
persistence,20.987969087759815,41.67140770234165,34640,0,True
xgboost,17.75433961896247,34.95834656737017,34640,13,True
attention_lstm,19.208323272641653,36.034969313698255,34640,667,True
