control_a,control_b,metric,definition,rule_id,channel,paired_strata,min_paired_contexts,status,equal_stratum_mean_difference
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-4.305479691876751
quantile_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-3.3494222689075634
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-2.8769082633053222
quantile_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-2.047942927170868
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-7.580365896358544
quantile_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-5.622715336134455
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-5.788007703081233
quantile_static,cqr_rolling,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-11.032134103641456
quantile_static,persistence_static,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.3395238095238095
quantile_static,persistence_static,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.3153982843137255
quantile_static,persistence_static,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-0.044543067226890755
quantile_static,persistence_static,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-0.12413252801120452
quantile_static,persistence_static,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.20171831232492998
quantile_static,persistence_static,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.17210696778711487
quantile_static,persistence_static,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.11429446778711486
quantile_static,persistence_static,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-0.01755339635854342
quantile_static,persistence_static,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,0.02719187675070028
quantile_static,persistence_static,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,0.06057335434173669
quantile_static,persistence_static,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-30.068688725490194
quantile_static,persistence_static,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-25.426952030812323
quantile_static,persistence_static,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-3.211125700280113
quantile_static,persistence_static,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,0.45239845938375334
quantile_static,persistence_static,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-17.82089460784314
quantile_static,persistence_static,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-13.942769607843136
quantile_static,persistence_static,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-12.197951680672269
quantile_static,persistence_static,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-4.896621148459383
quantile_static,persistence_static,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
quantile_static,persistence_static,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-3.6026960784313724
quantile_static,persistence_static,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-1.0799019607843139
cqr_static,cqr_rolling,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.01510416666666667
cqr_static,cqr_rolling,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.0413515406162465
cqr_static,cqr_rolling,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,0.054788165266106435
cqr_static,cqr_rolling,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,0.050246848739495795
cqr_static,cqr_rolling,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-0.013490896358543418
cqr_static,cqr_rolling,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-0.00815126050420168
cqr_static,cqr_rolling,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.03925070028011204
cqr_static,cqr_rolling,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,0.032378326330532205
cqr_static,cqr_rolling,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,0.0881591386554622
cqr_static,cqr_rolling,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,0.12530812324929969
cqr_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-3.4849964985994393
cqr_static,cqr_rolling,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-4.745570728291317
cqr_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-2.7210696778711485
cqr_static,cqr_rolling,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-2.108403361344538
cqr_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-0.08050595238095233
cqr_static,cqr_rolling,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.20027135854341743
cqr_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-2.2833245798319326
cqr_static,cqr_rolling,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-1.2192226890756306
cqr_static,cqr_rolling,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,cqr_rolling,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-8.475402661064425
cqr_static,cqr_rolling,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-10.86450455182073
cqr_static,persistence_static,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.30951768207282915
cqr_static,persistence_static,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.29368434873949584
cqr_static,persistence_static,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-0.0572671568627451
cqr_static,persistence_static,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-0.13100227591036415
cqr_static,persistence_static,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.16539565826330532
cqr_static,persistence_static,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.1388427871148459
cqr_static,persistence_static,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.042652310924369746
cqr_static,persistence_static,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-0.0756766456582633
cqr_static,persistence_static,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,0.034216561624649866
cqr_static,persistence_static,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,0.03250437675070028
cqr_static,persistence_static,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,restricted_delay,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,-28.70072654061624
cqr_static,persistence_static,restricted_delay,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,-24.492086834733897
cqr_static,persistence_static,restricted_delay,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,restricted_delay,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-1.6267156862745102
cqr_static,persistence_static,restricted_delay,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,1.6934173669467787
cqr_static,persistence_static,restricted_delay,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,restricted_delay,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,-15.024492296918769
cqr_static,persistence_static,restricted_delay,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,-11.694555322128853
cqr_static,persistence_static,restricted_delay,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,restricted_delay,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,-6.900910364145659
cqr_static,persistence_static,restricted_delay,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-0.49312850140056014
cqr_static,persistence_static,restricted_delay,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_static,persistence_static,restricted_delay,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-6.290091036414566
cqr_static,persistence_static,restricted_delay,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-0.9122724089635855
cqr_rolling,persistence_static,recall,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,recall,A minus B,180min_3of18,combined,21,50,descriptive_complete_pairing,0.2944135154061625
cqr_rolling,persistence_static,recall,A minus B,180min_3of18,numerical_only,21,50,descriptive_complete_pairing,0.2523328081232493
cqr_rolling,persistence_static,recall,A minus B,30min_3of3,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,recall,A minus B,30min_3of3,combined,21,50,descriptive_complete_pairing,-0.11205532212885154
cqr_rolling,persistence_static,recall,A minus B,30min_3of3,numerical_only,21,50,descriptive_complete_pairing,-0.18124912464985993
cqr_rolling,persistence_static,recall,A minus B,360min_4of36,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,recall,A minus B,360min_4of36,combined,21,50,descriptive_complete_pairing,0.17888655462184871
cqr_rolling,persistence_static,recall,A minus B,360min_4of36,numerical_only,21,50,descriptive_complete_pairing,0.1469940476190476
cqr_rolling,persistence_static,recall,A minus B,60min_4of6,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,recall,A minus B,60min_4of6,combined,21,50,descriptive_complete_pairing,0.0034016106442576995
cqr_rolling,persistence_static,recall,A minus B,60min_4of6,numerical_only,21,50,descriptive_complete_pairing,-0.10805497198879552
cqr_rolling,persistence_static,recall,A minus B,single_sample,availability_only,21,50,descriptive_complete_pairing,0.0
cqr_rolling,persistence_static,recall,A minus B,single_sample,combined,21,50,descriptive_complete_pairing,-0.053942577030812316
cqr_rolling,persistence_static,recall,A minus B,single_sample,numerical_only,21,50,descriptive_complete_pairing,-0.09280374649859943
cqr_rolling,persistence_static,restricted_delay,A minus B,180min_3of18,availability_only,21,50,descriptive_complete_pairing,0.0
