stage,category,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
context_07cc822c1068773a0cf2_v0,context_replay,0.6168467000097735,427368448,427413504,387866624,387923968,45056,428519424,3902267392,0.05,0.625
context_07cc822c1068773a0cf2_v1,context_replay,0.6402967000030912,427384832,427413504,387866624,387923968,28672,428519424,3923095552,0.05,0.65625
context_07cc822c1068773a0cf2_v10,context_replay,0.0027547000063350424,428101632,428101632,388399104,388399104,0,429236224,3893407744,0.05,0.0
context_07cc822c1068773a0cf2_v11,context_replay,0.7427537999901688,428101632,428441600,388399104,389500928,339968,429236224,3896938496,0.05,0.703125
context_07cc822c1068773a0cf2_v12,context_replay,0.0031366000039270148,428101632,428118016,388399104,388431872,16384,429236224,4089802752,0.05,0.0
context_07cc822c1068773a0cf2_v13,context_replay,0.6949308000039309,428105728,428969984,388665344,389767168,864256,429502464,4133822464,0.05,0.671875
context_07cc822c1068773a0cf2_v14,context_replay,0.0027720000070985407,428367872,428384256,388665344,388698112,16384,429502464,4311650304,0.05,0.015625
context_07cc822c1068773a0cf2_v15,context_replay,0.6229063000064343,428367872,429240320,388665344,389779456,872448,429518848,4296335360,0.05,0.609375
context_07cc822c1068773a0cf2_v16,context_replay,0.0026298000011593103,428384256,428400640,388665344,388698112,16384,429518848,4314370048,0.05,0.0
context_07cc822c1068773a0cf2_v17,context_replay,0.6848669999890262,428388352,429494272,388665344,389767168,1105920,429555712,4204851200,0.05,0.640625
context_07cc822c1068773a0cf2_v18,context_replay,0.0023855000035837293,428421120,428437504,388665344,388698112,16384,429555712,4153573376,0.05,0.0
context_07cc822c1068773a0cf2_v19,context_replay,0.6304303000069922,428425216,429842432,388931584,390041600,1417216,429903872,4122783744,0.05,0.609375
context_07cc822c1068773a0cf2_v2,context_replay,0.002425400001811795,427388928,427405312,388132864,388165632,16384,428519424,3965161472,0.05,0.0
context_07cc822c1068773a0cf2_v20,context_replay,0.002876099999411963,428752896,428769280,388898816,388931584,16384,429903872,4150042624,0.05,0.0
context_07cc822c1068773a0cf2_v21,context_replay,0.6318815000122413,428752896,429006848,388898816,390000640,253952,429903872,4137013248,0.05,0.625
context_07cc822c1068773a0cf2_v22,context_replay,0.004079999998793937,428752896,428769280,388898816,388931584,16384,429903872,4164243456,0.05,0.0
context_07cc822c1068773a0cf2_v23,context_replay,0.6361346000048798,428752896,429838336,388898816,390017024,1085440,429903872,4147113984,0.05,0.609375
context_07cc822c1068773a0cf2_v24,context_replay,0.0027322000096319243,428756992,428773376,389165056,389197824,16384,429903872,4157300736,0.05,0.0
context_07cc822c1068773a0cf2_v25,context_replay,0.650629800002207,428756992,429068288,389165056,389234688,311296,430161920,4149964800,0.05,0.609375
context_07cc822c1068773a0cf2_v26,context_replay,0.5994117000082042,429027328,429375488,389165056,390266880,348160,430202880,4142166016,0.05,0.59375
context_07cc822c1068773a0cf2_v27,context_replay,0.7502340999926673,429068288,430084096,389165056,390279168,1015808,430219264,4146241536,0.05,0.703125
context_07cc822c1068773a0cf2_v28,context_replay,0.6008973000134574,429084672,429105152,389165056,389214208,20480,430219264,4159283200,0.05,0.578125
context_07cc822c1068773a0cf2_v29,context_replay,0.6884321999968961,429084672,429985792,389165056,390266880,901120,430219264,4148555776,0.05,0.671875
context_07cc822c1068773a0cf2_v3,context_replay,0.6286094000097364,427388928,428314624,388132864,389255168,925696,428818432,3936784384,0.05,0.625
context_07cc822c1068773a0cf2_v30,context_replay,0.6437890999950469,429481984,430018560,389996544,390107136,536576,431071232,4167946240,0.05,0.625
context_07cc822c1068773a0cf2_v31,context_replay,0.6217406000068877,429936640,430915584,389996544,391098368,978944,431071232,4137050112,0.05,0.5625
context_07cc822c1068773a0cf2_v32,context_replay,0.6388832999946317,429936640,430448640,389996544,391106560,512000,431136768,4166037504,0.05,0.59375
context_07cc822c1068773a0cf2_v33,context_replay,0.6161363999999594,430002176,430194688,389996544,391098368,192512,431136768,4171350016,0.05,0.578125
context_07cc822c1068773a0cf2_v34,context_replay,0.621309599999222,430002176,430039040,389996544,390062080,36864,431136768,4169113600,0.05,0.59375
context_07cc822c1068773a0cf2_v35,context_replay,0.6073147999995854,430002176,431075328,389996544,391098368,1073152,431136768,4151889920,0.05,0.5625
context_07cc822c1068773a0cf2_v36,context_replay,0.633998099991004,430002176,430034944,389996544,390045696,32768,431153152,4158722048,0.05,0.59375
context_07cc822c1068773a0cf2_v37,context_replay,0.6867274999967776,430018560,430039040,389996544,390045696,20480,431153152,4139716608,0.05,0.6875
context_07cc822c1068773a0cf2_v38,context_replay,0.7168223000044236,430018560,430915584,389996544,391110656,897024,431169536,4135518208,0.05,0.703125
context_07cc822c1068773a0cf2_v39,context_replay,0.6896596000005957,430034944,431108096,389996544,391098368,1073152,431169536,4169936896,0.05,0.671875
context_07cc822c1068773a0cf2_v4,context_replay,0.0033392999903298914,427683840,427700224,388132864,388165632,16384,428818432,3938611200,0.05,0.0
context_07cc822c1068773a0cf2_v40,context_replay,0.7044393999967724,430034944,430194688,389996544,391098368,159744,431202304,4143886336,0.05,0.6875
context_07cc822c1068773a0cf2_v41,context_replay,0.6959897999913665,430071808,430350336,390262784,390311936,278528,431464448,4164907008,0.05,0.65625
context_07cc822c1068773a0cf2_v42,context_replay,0.6624982999928761,430329856,430354432,390262784,390316032,24576,431464448,4172029952,0.05,0.609375
context_07cc822c1068773a0cf2_v5,context_replay,0.6426720000017667,427683840,428838912,388132864,389234688,1155072,428900352,3921199104,0.05,0.625
context_07cc822c1068773a0cf2_v6,context_replay,0.6302221000078134,427765760,427921408,388132864,389255168,155648,428900352,3930828800,0.05,0.578125
context_07cc822c1068773a0cf2_v7,context_replay,0.0027445999876363203,427769856,427786240,388399104,388431872,16384,428900352,3947728896,0.05,0.0
context_07cc822c1068773a0cf2_v8,context_replay,0.0027529000071808696,427769856,427786240,388399104,388431872,16384,428900352,3951661056,0.05,0.015625
context_07cc822c1068773a0cf2_v9,context_replay,0.5957631999917794,427773952,428781568,388399104,389500928,1007616,429236224,3931852800,0.05,0.578125
context_09fdd1ac978146e6f60d_v0,context_replay,0.7070602000021609,479100928,480161792,440311808,441425920,1060864,484126720,4021981184,0.05,0.65625
context_09fdd1ac978146e6f60d_v1,context_replay,0.6812547000008635,479100928,479424512,440311808,441413632,323584,484126720,4023513088,0.05,0.671875
context_09fdd1ac978146e6f60d_v10,context_replay,0.003196600009687245,479506432,479522816,440844288,440877056,16384,484126720,4007276544,0.05,0.0
context_09fdd1ac978146e6f60d_v11,context_replay,0.7639037000044482,479506432,479809536,440844288,440913920,303104,484126720,3981352960,0.05,0.734375
context_09fdd1ac978146e6f60d_v12,context_replay,0.004008800009614788,479768576,479784960,440844288,440877056,16384,484126720,4005175296,0.05,0.0
context_09fdd1ac978146e6f60d_v13,context_replay,0.7734758000005968,479772672,480055296,441110528,441159680,282624,484126720,4003434496,0.05,0.734375
context_09fdd1ac978146e6f60d_v14,context_replay,0.002489999998942949,480038912,480055296,441110528,441143296,16384,484126720,3999109120,0.05,0.0
context_09fdd1ac978146e6f60d_v15,context_replay,0.7178142000047956,480038912,481013760,441110528,442212352,974848,484126720,3986960384,0.05,0.6875
context_09fdd1ac978146e6f60d_v16,context_replay,0.0028268000023672357,480038912,480055296,441110528,441143296,16384,484126720,4004519936,0.05,0.0
context_09fdd1ac978146e6f60d_v17,context_replay,0.657092499997816,480038912,480145408,441110528,441159680,106496,484126720,3995832320,0.05,0.65625
context_09fdd1ac978146e6f60d_v18,context_replay,0.003143100009765476,480124928,480141312,441110528,441143296,16384,484126720,3991568384,0.05,0.0
