family,severity,control_id,target,n,unavailable_n,coverage,mpiw,winkler
bias,0.5,cqr_rolling,clean_counterfactual,19584.0,0.0,0.9123263888888888,0.502992285561266,0.9288240800473764
bias,0.5,cqr_rolling,corrupted_observation,19584.0,0.0,0.9070669934640523,0.502992285561266,0.9343300874259243
bias,0.5,cqr_static,clean_counterfactual,19584.0,0.0,0.8589154411764706,0.38608032529436037,1.1732584980592475
bias,0.5,cqr_static,corrupted_observation,19584.0,0.0,0.8532986111111112,0.38608032529436037,1.1786472700766892
bias,0.5,persistence_static,clean_counterfactual,19584.0,0.0,0.6372038398692811,0.125,3.7295551566329648
bias,0.5,persistence_static,corrupted_observation,19584.0,0.0,0.6435866013071896,0.125,3.721526841426675
bias,0.5,quantile_static,clean_counterfactual,19584.0,0.0,0.8428819444444444,0.4409251327956871,1.0556143750790137
bias,0.5,quantile_static,corrupted_observation,19584.0,0.0,0.8373672385620915,0.4409251327956871,1.0649256998861125
bias,1.0,cqr_rolling,clean_counterfactual,19584.0,0.0,0.9131433823529411,0.5106116175372614,0.9339465110916478
bias,1.0,cqr_rolling,corrupted_observation,19584.0,0.0,0.9040543300653595,0.5106116175372614,0.9629720394542463
bias,1.0,cqr_static,clean_counterfactual,19584.0,0.0,0.8594260620915033,0.3930636817570592,1.1782482855354117
bias,1.0,cqr_static,corrupted_observation,19584.0,0.0,0.8487540849673203,0.3930636817570592,1.2081676940887207
bias,1.0,persistence_static,clean_counterfactual,19584.0,0.0,0.6323529411764706,0.125,3.783356987847222
bias,1.0,persistence_static,corrupted_observation,19584.0,0.0,0.6388378267973857,0.125,3.744585835375817
bias,1.0,quantile_static,clean_counterfactual,19584.0,0.0,0.8429330065359477,0.44790770768372584,1.0609130410360215
bias,1.0,quantile_static,corrupted_observation,19584.0,0.0,0.834609885620915,0.44790770768372584,1.0965447248042444
bias,2.0,cqr_rolling,clean_counterfactual,19584.0,0.0,0.9103860294117647,0.516666436121869,0.9351042528335107
bias,2.0,cqr_rolling,corrupted_observation,19584.0,0.0,0.9005821078431373,0.516666436121869,1.0284123947535575
bias,2.0,cqr_static,clean_counterfactual,19584.0,0.0,0.8579452614379085,0.39758659048118083,1.179305878947752
bias,2.0,cqr_static,corrupted_observation,19584.0,0.0,0.8459967320261438,0.39758659048118083,1.278740171733736
bias,2.0,persistence_static,clean_counterfactual,19584.0,0.0,0.6307700163398693,0.125,3.9168982689950984
bias,2.0,persistence_static,corrupted_observation,19584.0,0.0,0.6343443627450981,0.125,3.8074943729575166
