control_id,unique_streams,rows,ordered_issued_bounds,raw_crossing_rows,finite_issued_bounds
cqr_rolling,2162,321091,321091,0,321091
cqr_static,2162,321091,321091,0,321091
persistence_static,2162,321091,321091,0,321091
quantile_static,2162,321091,321091,0,321091
