control_id,rule_id,channel,conditional_context_detection,macro_status,supported_strata,min_effective_contexts,max_effective_contexts,scheduled,effective,null,aliases,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,restricted_ttd_equal_stratum_minutes,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
cqr_rolling,360min_4of36,combined,0.2692778361344538,supported_point_estimate,21,50,68,2856,2742,114,763,745,1997,30.0,60.0,89.96059173669467,9907,68.79861111111111,70,1.017462400323004,1574,10.930555555555555,0.15887756132027858
cqr_static,360min_4of36,combined,0.2557869397759103,supported_point_estimate,21,50,68,2856,2742,114,763,704,2038,30.0,50.0,89.88008578431374,9907,68.79861111111111,51,0.7412940345210457,5206,36.15277777777778,0.5254870293731705
persistence_static,360min_4of36,combined,0.09039128151260502,supported_point_estimate,21,50,68,2856,2742,114,763,253,2489,50.0,90.0,104.90457808123251,9907,68.79861111111111,30,0.4360553144241445,5206,36.15277777777778,0.5254870293731705
quantile_static,360min_4of36,combined,0.29210959383753493,supported_point_estimate,21,50,68,2856,2742,114,763,800,1942,20.0,70.0,87.08368347338936,9907,68.79861111111111,115,1.6715453719592206,6209,43.11805555555555,0.6267285757545169
cqr_rolling,60min_4of6,combined,0.2638375350140056,supported_point_estimate,21,50,68,2856,2742,114,763,739,2003,30.0,50.0,90.41678046218487,9907,68.79861111111111,14,0.20349248006460077,32,0.2222222222222222,0.003230039366104774
cqr_static,60min_4of6,combined,0.30308823529411766,supported_point_estimate,21,50,68,2856,2742,114,763,842,1900,30.0,70.0,88.13345588235295,9907,68.79861111111111,107,1.555263954779449,425,2.951388888888889,0.04289896033107903
persistence_static,60min_4of6,combined,0.2604359243697479,supported_point_estimate,21,50,68,2856,2742,114,763,726,2016,50.0,100.0,95.03436624649859,9907,68.79861111111111,152,2.2093469264156655,3664,25.444444444444443,0.3698395074189966
quantile_static,60min_4of6,combined,0.3747303921568627,supported_point_estimate,21,50,68,2856,2742,114,763,1045,1697,30.0,70.0,82.83641456582635,9907,68.79861111111111,130,1.8895730291712929,385,2.673611111111111,0.03886141112344806
cqr_rolling,single_sample,combined,0.8095999649859943,supported_point_estimate,21,50,68,2856,2742,114,763,2200,542,10.0,60.0,38.427485994397756,9907,68.79861111111111,460,6.686181487836882,516,3.583333333333333,0.052084384778439484
cqr_static,single_sample,combined,0.8977591036414565,supported_point_estimate,21,50,68,2856,2742,114,763,2450,292,10.0,60.0,29.952083333333338,9907,68.79861111111111,965,14.026445947309982,1424,9.888888888888888,0.14373675179166243
persistence_static,single_sample,combined,0.8635425420168067,supported_point_estimate,21,50,68,2856,2742,114,763,2357,385,20.0,60.0,36.2421743697479,9907,68.79861111111111,783,11.381043706470171,3538,24.569444444444443,0.3571212274149591
quantile_static,single_sample,combined,0.8907344187675073,supported_point_estimate,21,50,68,2856,2742,114,763,2430,312,10.0,60.0,32.639478291316536,9907,68.79861111111111,1217,17.689310588472797,1574,10.930555555555555,0.15887756132027858
cqr_rolling,180min_3of18,numerical_only,0.33841299019607846,supported_point_estimate,21,50,68,2856,2742,114,763,952,1790,30.0,80.0,85.68174019607844,9907,68.79861111111111,87,1.264560411830019,1015,7.048611111111111,0.1024528111436358
cqr_static,180min_3of18,numerical_only,0.379764530812325,supported_point_estimate,21,50,68,2856,2742,114,763,1058,1684,30.0,80.0,80.93616946778711,9907,68.79861111111111,173,2.514585646512567,3982,27.652777777777775,0.4019380236196628
persistence_static,180min_3of18,numerical_only,0.08608018207282912,supported_point_estimate,21,50,68,2856,2742,114,763,243,2499,50.0,90.0,105.42825630252102,9907,68.79861111111111,38,0.5523367316039164,4859,33.74305555555556,0.49046128999697186
quantile_static,180min_3of18,numerical_only,0.40147846638655466,supported_point_estimate,21,50,68,2856,2742,114,763,1121,1621,30.0,80.0,80.00130427170869,9907,68.79861111111111,227,3.2994852124760268,4367,30.326388888888886,0.44079943474311084
cqr_rolling,30min_3of3,numerical_only,0.2139250700280112,supported_point_estimate,21,50,68,2856,2742,114,763,607,2135,30.0,50.0,92.94094887955183,9907,68.79861111111111,12,0.17442212576965782,14,0.09722222222222221,0.0014131422226708386
cqr_static,30min_3of3,numerical_only,0.264171918767507,supported_point_estimate,21,50,68,2856,2742,114,763,742,2000,30.0,90.0,90.83254551820728,9907,68.79861111111111,79,1.1482789946502472,227,1.5763888888888888,0.02291309175330574
persistence_static,30min_3of3,numerical_only,0.39517419467787124,supported_point_estimate,21,50,68,2856,2742,114,763,1085,1657,60.0,90.0,89.1391281512605,9907,68.79861111111111,431,6.26466135056021,2179,15.131944444444443,0.21994549308569694
quantile_static,30min_3of3,numerical_only,0.2710416666666666,supported_point_estimate,21,50,68,2856,2742,114,763,769,1973,30.0,80.0,89.59152661064427,9907,68.79861111111111,63,0.9157161602907035,114,0.7916666666666666,0.011507015241748257
cqr_rolling,360min_4of36,numerical_only,0.1994607843137255,supported_point_estimate,21,50,68,2856,2742,114,763,562,2180,30.0,80.0,95.93134628851541,9907,68.79861111111111,70,1.017462400323004,1574,10.930555555555555,0.15887756132027858
cqr_static,360min_4of36,numerical_only,0.19130952380952382,supported_point_estimate,21,50,68,2856,2742,114,763,535,2207,30.0,80.0,96.13161764705882,9907,68.79861111111111,51,0.7412940345210457,5206,36.15277777777778,0.5254870293731705
persistence_static,360min_4of36,numerical_only,0.05246673669467787,supported_point_estimate,21,50,68,2856,2742,114,763,147,2595,60.0,100.0,107.82617296918768,9907,68.79861111111111,30,0.4360553144241445,5206,36.15277777777778,0.5254870293731705
quantile_static,360min_4of36,numerical_only,0.2245737044817927,supported_point_estimate,21,50,68,2856,2742,114,763,625,2117,30.0,86.00000000000023,93.88340336134453,9907,68.79861111111111,115,1.6715453719592206,6209,43.11805555555555,0.6267285757545169
cqr_rolling,60min_4of6,numerical_only,0.17256477591036412,supported_point_estimate,21,50,68,2856,2742,114,763,490,2252,30.0,60.0,97.74968487394959,9907,68.79861111111111,14,0.20349248006460077,32,0.2222222222222222,0.003230039366104774
cqr_static,60min_4of6,numerical_only,0.2049431022408964,supported_point_estimate,21,50,68,2856,2742,114,763,577,2165,40.0,100.0,96.53046218487395,9907,68.79861111111111,107,1.555263954779449,425,2.951388888888889,0.04289896033107903
persistence_static,60min_4of6,numerical_only,0.28061974789915967,supported_point_estimate,21,50,68,2856,2742,114,763,772,1970,70.0,100.0,97.0235906862745,9907,68.79861111111111,152,2.2093469264156655,3664,25.444444444444443,0.3698395074189966
quantile_static,60min_4of6,numerical_only,0.2630663515406162,supported_point_estimate,21,50,68,2856,2742,114,763,742,2000,30.0,90.0,92.12696953781513,9907,68.79861111111111,130,1.8895730291712929,385,2.673611111111111,0.03886141112344806
cqr_rolling,single_sample,numerical_only,0.6461440826330532,supported_point_estimate,21,50,68,2856,2742,114,763,1797,945,20.0,70.0,58.80927871148459,9907,68.79861111111111,460,6.686181487836882,516,3.583333333333333,0.052084384778439484
cqr_static,single_sample,numerical_only,0.7714522058823529,supported_point_estimate,21,50,68,2856,2742,114,763,2140,602,20.0,70.0,47.94477415966387,9907,68.79861111111111,965,14.026445947309982,1424,9.888888888888888,0.14373675179166243
persistence_static,single_sample,numerical_only,0.7389478291316528,supported_point_estimate,21,50,68,2856,2742,114,763,2056,686,20.0,60.0,48.85704656862745,9907,68.79861111111111,783,11.381043706470171,3538,24.569444444444443,0.3571212274149591
quantile_static,single_sample,numerical_only,0.7995211834733893,supported_point_estimate,21,50,68,2856,2742,114,763,2207,535,20.0,80.0,47.77714460784315,9907,68.79861111111111,1217,17.689310588472797,1574,10.930555555555555,0.15887756132027858
