category,stages,summed_wall_seconds,summed_process_cpu_seconds,max_peak_rss_bytes,max_peak_private_bytes,min_available_ram_bytes
aggregate_tables,1,8.92310029998771,8.609375,641298432,604459008,3391737856
context_replay,2924,1429.8776570006303,1380.171875,541999104,505397248,1786793984
control_serialization,1,1.473811799995019,1.453125,369430528,325406720,2402185216
fullstream_clean,1,16.339054500000202,16.0625,385277952,340742144,2357583872
owner_calibration,1,0.43303679999371525,0.40625,365518848,321454080,2416271360
owner_fit,1,7.965282600009232,7.734375,372797440,328929280,2371911680
