role,n,maximum_prediction_difference,owner_sha256
calibration,3297,0.0,44a876e482447d8f4b43507441ee54ec1b8f81a78ddd07ca288d71404168bbfd
test,6437,0.0,44a876e482447d8f4b43507441ee54ec1b8f81a78ddd07ca288d71404168bbfd
