stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
dscp_assignment_000000_000064,0.2065255000052275,507301888,507465728,593911808,594350080,163840,660570112,3799261184,0.05,0.203125
dscp_assignment_000064_000576,1.6380724999908125,507449344,507469824,594300928,594350080,20480,660570112,3805167616,0.05,1.546875
dscp_assignment_000576_001088,1.6323530999943614,507449344,507469824,594300928,594350080,20480,660570112,3805433856,0.05,1.59375
dscp_assignment_001088_001600,1.67041700000118,507449344,507469824,594300928,594350080,20480,660570112,3787202560,0.05,1.625
dscp_assignment_001600_002112,1.6598233000113396,507449344,507985920,594300928,595402752,536576,660570112,3779534848,0.05,1.609375
dscp_assignment_002112_002624,1.658914100000402,507449344,507469824,594300928,594350080,20480,660570112,3803959296,0.05,1.609375
dscp_assignment_002624_003136,1.663224000003538,507449344,507469824,594300928,594350080,20480,660570112,3795914752,0.05,1.578125
dscp_assignment_003136_003648,1.6272039000032237,507449344,507469824,594300928,594350080,20480,660570112,3773112320,0.05,1.59375
dscp_assignment_003648_004160,1.6403129000100307,507449344,507469824,594300928,594350080,20480,660570112,3796176896,0.05,1.5625
dscp_assignment_004160_004672,1.6334912000020267,507449344,507469824,594300928,594350080,20480,660570112,3781189632,0.05,1.59375
dscp_assignment_004672_005184,1.657939600001555,507449344,507469824,594300928,594350080,20480,660570112,3766501376,0.05,1.625
dscp_assignment_005184_005696,1.6415059999999357,507449344,507469824,594300928,594350080,20480,660570112,3787513856,0.05,1.640625
dscp_assignment_005696_006208,1.646060099999886,507449344,507469824,594300928,594350080,20480,660570112,3798577152,0.05,1.578125
dscp_assignment_006208_006720,1.6282476000051247,507449344,507469824,594300928,594350080,20480,660570112,3780390912,0.05,1.578125
dscp_assignment_006720_007232,1.6242157999949995,507449344,507469824,594300928,594350080,20480,660570112,3794337792,0.05,1.578125
dscp_assignment_007232_007744,1.6464677000039956,507449344,507469824,594300928,594350080,20480,660570112,3809693696,0.05,1.640625
dscp_assignment_007744_008256,1.7169721999962348,507449344,507469824,594300928,594350080,20480,660570112,3748196352,0.05,1.6875
dscp_assignment_008256_008768,1.63587899999402,507449344,507469824,594300928,594350080,20480,660570112,3722387456,0.05,1.640625
dscp_assignment_008768_009280,1.69522720000532,507449344,507469824,594300928,594350080,20480,660570112,3758342144,0.05,1.671875
dscp_assignment_009280_009792,1.7071425000031013,507449344,507469824,594300928,594350080,20480,660570112,3738296320,0.05,1.65625
dscp_assignment_009792_009902,0.3746104000019841,507449344,507469824,594300928,594350080,20480,660570112,3732561920,0.05,0.375
dscp_fit,0.6269500000053085,506773504,539324416,560291840,626028544,32550912,660570112,3770974208,0.05,0.609375
